,ID,Game,ReleaseDate,Developer,Publisher
0,271590,Grand Theft Auto V,2015-04-14,Rockstar North,Rockstar Games
1,620,Portal 2,2011-04-18,Valve,Valve
2,373420,Divinity: Original Sin - Enhanced Edition,2015-10-27,Larian Studios,Larian Studios
3,546560,Half-Life: Alyx,2020-03-23,Valve,Valve
4,1174180,Red Dead Redemption 2,2019-12-05,Rockstar Games,Rockstar Games
5,435150,Divinity: Original Sin 2 - Definitive Edition,2017-09-14,Larian Studios,Larian Studios
6,587620,OKAMI HD / 大神 絶景版,2017-12-12,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
7,287700,METAL GEAR SOLID V: THE PHANTOM PAIN,2015-09-01,Konami Digital Entertainment,Konami Digital Entertainment
8,35140,Batman: Arkham Asylum Game of the Year Edition,2010-03-26,Rocksteady Studios,Warner Bros. Interactive Entertainment
9,205100,Dishonored,2012-10-08,Arkane Studios,Bethesda Softworks
10,6310,The Longest Journey,2007-05-01,Funcom,Funcom
11,214560,Mark of the Ninja,0000-00-00,Klei Entertainment,Microsoft Studios
12,200260,Batman: Arkham City - Game of the Year Edition,2012-09-07,"Rocksteady Studios, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)"
13,901583,Grand Theft Auto IV: Complete Edition,0000-00-00,"Rockstar North, Rockstar Toronto",Rockstar Games
14,225080,Brothers - A Tale of Two Sons,2013-09-03,Starbreeze Studios AB,505 Games
15,460790,Bayonetta,2017-04-11,PlatinumGames,SEGA
16,354400,Tadpole Treble,2016-09-02,BitFinity,"BitFinity, Sunken Treasure Games"
17,469790,Linelight,2017-01-30,My Dog Zorro,My Dog Zorro
18,12210,Grand Theft Auto IV: The Complete Edition,2020-03-24,"Rockstar North, Rockstar Toronto",Rockstar Games
19,730820,The Curse of Monkey Island,2018-03-22,LucasArts,"LucasArts, Lucasfilm, Disney"
20,653530,Return of the Obra Dinn,2018-10-18,Lucas Pope,3909
21,13600,Prince of Persia: The Sands of Time,2008-11-21,Kudosoft,Ubisoft
22,501300,What Remains of Edith Finch,2017-04-24,Giant Sparrow,Annapurna Interactive
