,ID,Game,ReleaseDate,Developer,Publisher
0,1025600,Battle Realms: Zen Edition,2019-12-03,Ed Del Castillo,Ed Del Castillo
1,860190,Vietcong,2018-05-25,Studio-Space RA,Studio-Space RA
2,251950,WWII Online,2001-06-06,Cornered Rat Software,Cornered Rat Software
3,790710,World of Warplanes,2018-09-12,Wargaming Group Limited, Wargaming Group Limited
4,962640,Lume - Alpha Release,2018-11-02,Lume VR,Lume VR
5,1027660,It's Fun To Break Things,2019-03-08,Misper Games,Misper Games
6,923510,Cedar Junction,2019-01-08,vandal_TEN Studio,vandal_TEN Studio
7,963590,Cubic Factory,2018-11-23,Pagan,Core Games
8,910750,Battle Species,2018-10-11,TeeKoo Games Ltd,TeeKoo Games Ltd
9,866430,AS+CEND,2018-09-26,Whimsy Games,Whimsy Games
10,786960,Star Epica 3720,2018-02-05,Talea Studios,Talea Studios
11,601880,BoostBots VR,2017-08-09,Sundermix LLC,Sundermix LLC
12,438100,VRChat,2017-02-01,VRChat Inc.,VRChat Inc.
13,326460,ShellShock Live,2015-03-11,kChamp Games,kChamp Games
14,552100,Brick Rigs,2016-11-07,Lukas Rustemeyer,Lukas Rustemeyer
15,471710,Rec Room,2016-06-28,Rec Room,Rec Room
16,418030,Subsistence,2016-10-25,ColdGames,ColdGames
17,293760,Automation - The Car Company Tycoon Game,2015-03-12,Camshaft Software,Camshaft Software
18,429050,Feed and Grow: Fish,2016-01-08,Old B1ood,Greens s.r.o.
19,374280,Hired Ops,2016-10-21,Absolut Soft LLC,Absolut Soft LLC
20,858210,Nova Drift,2019-03-27,Chimeric,Pixeljam
21,853770,MAXIMUM Action,2018-09-19,"George Mandell, David Szymanski, John Szymanski",New Blood Interactive
22,547680,Guild Quest,2017-01-26,Hyper Hippo Games,Hyper Hippo Games
23,598980,The Coin Game,2019-02-22,devotid,devotid Media
24,604490,Running Through Russia,2017-05-21,Spell Helix,Spell Helix
25,898920,Axis & Allies 1942 Online,2019-07-31,Beamdog,Beamdog
26,1191330,Inferna,2019-12-20,INFERNA LIMITED,INFERNA LIMITED
27,686600,Rapture Rejects,2018-11-29,"Galvanic Games, Explosm Games",tinyBuild
28,386590,Novus Inceptio,2015-10-05,McMagic Productions,McMagic Productions
29,839910,Mythgard,2019-09-18,Rhino Games Inc,Rhino Games Inc
30,486860,MMORPG Tycoon 2,2020-01-06,VectorStorm Pty Ltd,VectorStorm Pty Ltd
31,1016730,Deck of Ashes,2019-04-11,AYGames,"AYGames, WhisperGames"
32,574760,Starship Theory,2017-07-04,Reconnect Software,Reconnect Software
33,615120,COMPOUND,2018-05-15,Bevan McKechnie,Bevan McKechnie
34,686680,Computer Tycoon,2017-10-12,Progorion,Progorion
35,1137180,咔叽探险队 Kaki Raid,2019-09-25,Kaki Studio,Feiyu Technology
36,1069740,Seen,2019-06-20,Seen Games,Seen Games
37,1032430,Blood Trail,2019-03-27,Electrovore,Electrovore
38,1008580,Overstep,2019-11-22,Gamecan,Gamecan
39,450860,Andarilho,2017-05-05,SC Jogos,SC Jogos
40,505060,Warcube,2017-01-27,craigz,Haven Made
41,811320,Jupiter Hell,2019-08-01,ChaosForge,ChaosForge
42,392080,Wayward Terran Frontier: Zero Falls,2016-02-11,Reason Generator Inc.,Reason Generator Inc.
43,1055090,Embark,2019-04-18,Overly Complicated Games,Overly Complicated Games
44,759530,Struckd - 3D Game Creator,2018-02-02,Struckd AG,Struckd AG
45,740250,Neos VR,2018-05-04,"Frooxius, Solirax",Solirax
46,517720,Epic Tavern,2017-09-13,Hyperkinetic Studios,Epic Tavern Holdings
47,366000,Rogue System,2016-05-16,"Digits Crossed Interactive, LLC",Image Space Incorporated
48,722670,Chinese Chess/ Elephant Game: 象棋/ 中国象棋/ 中國象棋,2017-10-20,Wang Wenxi,Wang Wenxi
49,944920,Nanotale - Typing Chronicles,2019-10-23,Fishing Cactus,"Fishing Cactus, Plug In Digital, 2PGames"
50,1084980,Front Lines,2019-06-17,Marco S Hampel,Firez Studios
51,821060,Desktop Mascot Engine,2018-05-09,GamerzDan,GamerzDan
52,386600,Pixel Fodder,2015-07-20,Wacha,wacha.ru
53,1195020,Guardians of the Ashes,2020-02-21,Mature Games,Mature Games
54,750520,Arcade Tycoon,2019-09-12,"Squidpunch Studios, Vincent Corporation Ltd",Vincent King Studio
55,734290,World Warfare,2018-04-03,JoyCrafter,WisJoy
56,349510,Hanako: Honor & Blade,2017-10-08,"+Mpact Games, LLC.","+Mpact Games, LLC."
57,1070150,SLAYERS FOR HIRE,2020-03-20,Meta Games,Meta Games
58,757630,Big Day,2018-10-02,Sonic Shield,Zodiac Interactive
59,651380,BANG! BANG! Totally Accurate Redneck Simulator,2018-03-13,DEKLAZON,DEKLAZON
60,909970,Tech Corp.,2019-07-25,Mardonpol Inc.,2tainment GmbH
61,1171240,Reiko's Fragments,2019-10-28,Pixel Canvas Studios,Pixel Canvas Studios
62,616830,Cartoon Strike,2020-03-11,Gametoria,Gametoria
63,448640,Elements II: Hearts of Light,2016-04-01,Soul Catapult,New Reality Games
64,1097620,Fast and Low,2019-06-20,Urban Giraffe Games Inc.,Urban Giraffe Games Inc.
65,753610,J.A.W.S,2018-03-08,"Corn Fed Games, LLC.","Corn Fed Games, LLC."
66,705100,Marshmallow Melee,2017-10-06,TriHelix LLC,TriHelix LLC
67,315540,The Joylancer: Legendary Motor Knight,2014-11-07,alpha six productions,Digerati
68,1004190,Flowers in Dark,2019-01-03,晨风工坊/DAWNWING SHOP,0Cube
69,1160020,AshenForest,2020-01-24,GentleRaven Games,PsychoFlux Entertainment
70,982060,Undholm,2019-01-06,"Pixelmeal Games, LLC","Pixelmeal Games, LLC"
71,460540,Temple of Rust,2018-09-18,James Mearman,www.dev-zoo.net
72,432720,Welkin Road,2016-04-13,Gregor Panič,Nkidu Games Inc.
73,796430,SHiRO 011,2019-03-24,BARS STUDIOS,BARS STUDIOS
74,963290,Heroes of Fortunia,2019-04-04,Polska Lemon Ltd.,Polska Lemon Ltd.
75,266370,Calibre 10 Racing,2014-03-26,Bongfish GmbH,Bongfish GmbH
76,1055610,Deep Space Battle Simulator,2020-03-06,yeswecamp,yeswecamp
77,517020,Virtual Warfighter,2016-09-02,MDA Digital,MDA Digital
78,854110,AFTER-H,2019-09-23,SmartVR Studio,SmartVR Studio
79,290810,Colossal Kaiju Combat: Kaijuland Battles,2014-08-11,"Sunstone Games, LLC.","Sunstone Games, LLC."
80,606870,MetaMorph: Dungeon Creatures,2017-12-13,FireFly Studios,FireFly Studios
81,570500,Child Phobia: Nightcoming Fears,2016-12-20,2B_GAMES,2B_GAMES
82,432170,Silver Knight,2016-01-15,Wojciech Krupinski,KrupinskiArt
83,571890,ShapeLab,2017-03-23,Leopoly,Leopoly
84,722920,Hex Empire 3,2018-05-19,Meta Sauce,Meta Sauce
85,988490,Black Powder Red Earth,2019-12-31,_Echelon Software,_Echelon Software
86,411600,The Sentient,2016-02-29,Uncaged Studios,Uncaged Studios
87,674370,CoffeeBiz Tycoon,2018-10-31,The Sociopath Software,The Sociopath Software
88,893870,Trials of Ascension: Exile,2018-07-26,Dragonfire Entertainment,Dragonfire Entertainment
89,463920,Initia: Elemental Arena,2016-04-29,Gentle Ghouls,Gentle Ghouls
90,858900,vSpatial,2018-07-20,vSpatial Inc,vSpatial Inc
91,857180,The Cooking Game VR,2018-07-13,Play Spirit Limited,Play Spirit Limited
92,397730,Rescue Love Revenge,2016-10-27,"Hatchlight, Trepid Studios",Rich Pine
93,493100,BellyBots,2016-07-26,Grumpy Company GmbH,Grumpy Company GmbH
94,898460,Outback Survival,2018-09-19,Wafflesoft,Wafflesoft
95,619340,Conjuntalia,2017-07-27,NEZOS GAMES,NEZOS GAMES
96,695660,Saloon Showdown VR,2017-10-10,Matthew Peacock,Matthew Peacock
97,778250,Battle of Kings VR,2018-02-01,"Battle of Kings Team, Wenkly Studio Sp. z o.o.",Wenkly Studio Sp. z o.o.
98,452650,The Rebel,2016-07-15,Clockwork Game Software,Clockwork Game Software
99,1060810,The Sphere of Abyss,2019-11-25,Crazy Bear Games,Crazy Bear Games
100,496510,M.EXE,2016-07-29,Pedro Zea,Pedro Zea
101,515010,A Duel Hand Disaster: Trackher,2017-08-28,Ask An Enemy Studios,Ask An Enemy Studios
102,453870,Quantum Chess,2017-02-28,"Quantum Realm Games, Broken Circle Studios",Quantum Realm Games
103,402800,Chunks,2016-04-11,Facepunch Studios,Facepunch Studios
104,451360,Fenrisulfr Puzzle,2018-02-17,Fenrisulfr Ruin1990,Fenrisulfr  ZLeaf
105,393820,At the Mountains of Madness,2016-03-25,Team Clockworks,Team Clockworks
106,911010,Farplane Relic,2018-10-17,Nicey Game,Nicey Game
107,1013410,REDVIIL,2019-03-12,BURRIK,BURRIK
108,802720,Give Me Your Coins,2018-11-28,Steppe Hare Studio,Steppe Hare Studio
109,396700,Hover Cubes: Arena,2016-05-02,Gametology,Deck13
110,793760,My Sweet Waifu,2018-03-07,Miracle Gates Entertainment,Labscle
111,706710,Close Your Eyes -Anniversary Remake-,2018-12-21,Yai Gameworks,Yai Gameworks
112,894920,ZKILLER,2018-07-25,Chainsaw Games,Chainsaw Games
113,781130,Creatura,2018-10-29,Koksny.com,Koksny.com
114,861330,Dungeon Deathball,2018-07-06,Matt Glanville,Matt Glanville
115,1036800,Night Island,2019-08-26,Aurora Interactive,Aurora Interactive
116,1170720,PocketCars,2020-01-10,Gen90Software,Gen90Software
117,339530,Factions: Origins of Malu,2015-03-23,Burning Dog Media,Burning Dog Media
118,242610,Grappledrome,2017-02-13,800 North,800 North
119,325470,1953: NATO vs Warsaw Pact,2014-11-11,Wastelands Interactive,Wastelands Interactive
120,566570,Hover Skate VR,2017-03-17,Hyper Light Studios,Hyper Light Studios
121,489400,The Last Look,2016-10-28,ChaosCore UG,ChaosCore UG
122,463540,StreetCraft,2016-09-29,"Lambda, 恶魔橘子","Lambda, 恶魔橘子"
123,858250,Tainted Fate,2018-05-28,"Delta Reality, Misfit Village","Delta Reality, Misfit Village"
124,357920,Final Strike,2016-06-23,Ghost Machine,Ghost Machine
125,939230,BARDO,2018-10-01,Apache,Apache
126,510360,Recession,2017-07-11,Super Strong Games,Super Strong Games
127,485110,PlanetFate,2016-06-06,Aaron Matthies,Aaron Matthies
128,960220,Lufulus' Creatures,2020-01-31,Nodamex,Nodamex
129,464950,Sumer,2017-02-15,Studio Wumpus,Studio Wumpus
130,914240,Nuclear Rancher,2018-10-29,Lakeshore Games,Lakeshore Games
131,1084350,Fear of Dark,2019-12-04,Perfect games,Perfect games
132,1228970,Elemental Abyss 元素之渊,2020-02-05,29x,29x
133,612600,Drone Fighters,2017-04-21,Surreal Games,Surreal Games
134,1071660,Ruine,2019-05-16,Potku,Potku
135,1092500,AQUARYOUNS World,2019-11-11,DJAMACAT GmbH,DJAMACAT GmbH
136,583530,Aquila Bird Flight Simulator,2017-08-18,Graeme Scott,Graeme Scott
137,846830,PartyLine VR,2019-09-13,Stephen Rogers,4th Wall Breakers
138,439740,Eclipsed,2016-02-17,Christ Laurenz Sambrano,Christ Laurenz Sambrano
139,1155260,Beat Diablo,2019-12-04,Solo-Man  Games,Solo-Man  Games
140,525350,Thick Air,2016-09-15,People Gotta Play,People Gotta Play
141,518190,Sky Jac,2016-10-24,Team of Light Media LLC,Team of Light Media LLC
142,815280,Crooked Waters,2018-07-13,Craft Game Studio,Craft Game Studio
143,916240,Madievals,2019-07-16,2finger,"Daring Touch, Netminds"
144,1049560,Run For Cover,2019-05-03,Michail Ostrowski,Michail Ostrowski
145,616660,VR Coaster Extreme,2017-04-18,George Cook,Tantawowa
146,978180,Stay Silent,2019-06-20,NetEase Games,NetEase Games
147,454370,Battlecursed,2018-02-07,Codex Worlds,Codex Worlds
148,445550,Watson's Watch,2016-06-06,Retro Warp Gaming,Retro Warp Gaming
149,897900,Typing of the Undead,2019-11-27,Risen Realms,Risen Realms
150,987630,Opencast Mining,2019-12-13,Summer League,Summer League
151,949910,Refill your Roguelike,2019-01-19,Homebrew Cult,Homebrew Cult
