,ID,Game,ReleaseDate,Developer,Publisher
0,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2017-12-21,604,PUBG Corporation
1,304930,Unturned,2017-07-07,4888,Smartly Dressed Games
2,252490,Rust,2018-02-08,1343,Facepunch Studios
3,232090,Killing Floor 2,2016-11-18,2837,Tripwire Interactive
4,431960,Wallpaper Engine,2018-11-16,123,Wallpaper Engine Team
5,346110,ARK: Survival Evolved,2017-08-27,1448,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC"
6,291550,Brawlhalla,2017-10-17,383,Blue Mammoth Games
7,552990,World of Warships,2017-11-15,1662,Wargaming Group Limited
8,107410,Arma 3,2013-09-12,520,Bohemia Interactive
9,646570,Slay the Spire,2019-01-23,332,Mega Crit Games
10,466240,Deceit,2017-03-03,208,Baseline
11,433850,Z1 Battle Royale,2018-02-28,1348,Daybreak Game Company
12,220200,Kerbal Space Program,2015-04-27,896,Squad
13,322330,Don't Starve Together,2016-04-21,493,Klei Entertainment
14,286160,Tabletop Simulator,2015-06-05,186,Berserk Games
15,294100,RimWorld,2018-10-17,705,Ludeon Studios
16,219990,Grim Dawn,2016-02-25,1459,Crate Entertainment
17,1046930,Dota Underlords,2019-06-20,100,Valve
18,644560,Mirror,2018-04-19,86,KAGAMI WORKs
19,815370,Green Hell,2019-09-05,362,Creepy Jar
20,386180,Crossout,2017-07-26,65,Targem Games
21,620980,Beat Saber,2019-05-21,120,Beat Games
22,262060,Darkest Dungeon,2016-01-19,264,Red Hook Studios
23,310560,DiRT Rally,2015-12-07,41,"Codemasters Racing Studio, Feral Interactive (Linux), Feral Interactive (Mac)"
24,526160,The Wild Eight,2019-10-03,1192,HypeTrain Digital
25,594650,Hunt: Showdown,2019-08-27,577,Crytek
26,423710,Invasion: Brain Craving,2016-06-22,232,New Reality Games
27,264710,Subnautica,2018-01-23,502,Unknown Worlds Entertainment
28,227940,Heroes & Generals,2016-10-18,185,RETO MOTO
29,233450,Prison Architect,2015-10-06,189,"Double Eleven, Introversion Software"
30,351990,Riff Racer - Race Your Music!,2016-05-12,682,FOAM Entertainment
31,544810,KARDS - The WWII Card Game,2020-04-15,61,1939 Games
32,331790,Data Hacker: Reboot,2015-04-17,193,New Reality Games
33,435150,Divinity: Original Sin 2 - Definitive Edition,2017-09-14,813,Larian Studios
34,527230,For The King,2018-04-19,287,IronOak Games
35,897410,Esports Life Tycoon,2019-06-20,608,U-Play Online
36,305620,The Long Dark,2017-08-01,709,Hinterland Studio Inc.
37,550650,Black Squad,2019-06-26,260,NS STUDIO
38,466560,Northgard,2018-03-07,84,Shiro Games
39,774861,Project Winter,2019-05-23,79,Other Ocean Interactive
40,244210,Assetto Corsa,2014-12-19,92,Kunos Simulazioni
41,686200,Door Kickers: Action Squad,2018-09-10,220,"PixelShard, KillHouse Games"
42,576120,Purgatory II,2018-02-28,286,"New Reality Games, Eduard Mirica"
43,290080,Life is Feudal: Your Own,2015-11-17,269,Bitbox Ltd.
