,ID,Game,ReleaseDate,Developer,Publisher
0,440,Team Fortress 2,2007-10-10,Valve,Valve
1,570,Dota 2,2013-07-09,Valve,Valve
2,8500,EVE Online,2003-05-06,CCP,CCP
3,427270,Orcs Must Die! Unchained,2017-04-19,Robot Entertainment,Robot Entertainment
4,410380,HEX: Shards of Fate,2016-04-19,Hex Entertainment,Hex Entertainment
5,700480,Microsoft Allegiance,2017-09-29,Microsoft Game Studios,ZapHop Games
6,238960,Path of Exile,2013-10-23,Grinding Gear Games,Grinding Gear Games
7,17080,Tribes: Ascend,2012-06-27,Hi-Rez Studios,Hi-Rez Studios
8,212500,The Lord of the Rings Online,2012-06-06,"Standing Stone Games, LLC","Standing Stone Games, LLC"
9,504370,Battlerite,2017-11-08,Stunlock Studios,Stunlock Studios
10,218230,PlanetSide 2,2012-11-20,Rogue Planet Games,Daybreak Game Company
11,39120,RIFT,2013-10-24,Trion Worlds,Trion Worlds
12,201230,EverQuest II,2011-12-07,Darkpaw Games,Daybreak Game Company
13,386360,SMITE,2015-09-08,Titan Forge Games,Hi-Rez Studios
14,444090,Paladins,2018-05-08,Evil Mojo Games,Hi-Rez Studios
15,1085660,Destiny 2,2019-10-01,Bungie,Bungie 
16,730,Counter-Strike: Global Offensive,2012-08-21,"Valve, Hidden Path Entertainment",Valve
17,200210,Realm of the Mad God,2012-02-20,"Wild Shadow Studios, Deca Games",Deca Games
18,203770,Crusader Kings II,2012-02-14,Paradox Development Studio,Paradox Interactive
19,291410,Duelyst,2016-08-23,Counterplay Games Inc.,BANDAI NAMCO Entertainment America
20,376570,WildStar,2016-06-09,Carbine Studios,NCSOFT
21,219830,King Arthur's Gold,2013-11-05,Transhuman Design,Transhuman Design
22,312450,Order of Battle: World War II,2015-04-30,The Artistocrats,Slitherine Ltd.
23,236390,War Thunder,2013-08-15,Gaijin Entertainment,Gaijin Entertainment
24,402570,Atlas Reactor,2016-10-04,Trion Worlds,Trion Worlds
25,552990,World of Warships,2017-11-15,Wargaming Group Limited,Wargaming Group Limited
26,293260,Card Hunter,2015-07-13,Blue Manchu,Blue Manchu
27,304030,ArcheAge,2015-03-26,XLGAMES,Trion Worlds
28,41300,Altitude,2009-12-04,Nimbly Games,Nimbly Games
29,215100,Ragnarok Online,2003-06-01,Gravity Interactive,Gravity Interactive
30,845070,The Awesome Adventures of Captain Spirit,2018-06-25,DONTNOD Entertainment,Square Enix
31,6370,Bloodline Champions,2011-01-13,Stunlock Studios,Stunlock Studios
32,495910,Dungeon Fighter Online,2016-08-09,Neople,Neople
33,204300,Awesomenauts - the 2D moba,2012-08-01,Ronimo Games,Ronimo Games
34,244050,Rise of Flight United,2013-09-05,777 Studios,1C-777
35,323370,TERA,2015-05-05,"Bluehole, Inc.",En Masse Entertainment
36,273350,Evolve Stage 2,2015-02-10,Turtle Rock Studios,2K
37,212160,Vindictus,2012-06-22,devCAT,NEXON Korea Corp. &amp; NEXON America Inc.
38,215280,Secret World Legends,2017-07-31,Funcom,Funcom
39,327690,Gigantic,2017-07-19,Motiga Inc.,Perfect World Entertainment
40,215080,WAKFU,2014-09-18,Ankama Studio,Ankama Games
41,47410,Stronghold Kingdoms,2012-02-27,FireFly Studios,FireFly Studios
42,212070,Star Conflict,2013-02-27,Star Gem Inc.,Gaijin Entertainment
43,532840,CAYNE,2017-01-24,THE BROTHERHOOD,THE BROTHERHOOD
44,209870,Blacklight: Retribution,2012-07-02,"Hardsuit Labs, Inc.","Hardsuit Labs, Inc."
45,109600,Neverwinter,2013-12-05,Cryptic Studios,Perfect World Entertainment
46,544920,Darwin Project,2020-01-13,Scavengers Studio,Scavengers Studio
47,223630,AirBuccaneers,0000-00-00,LudoCraft Ltd.,LudoCraft Ltd.
48,251950,WWII Online,2001-06-06,Cornered Rat Software,Cornered Rat Software
49,592890,Insidia,2018-02-27,Bad Seed,Bad Seed
50,299360,Block N Load,2015-04-30,"Toadman Interactive, Jagex, Artplant","Toadman Interactive, Jagex"
51,9880,Champions Online,2009-09-01,Cryptic Studios,Perfect World Entertainment
52,396280,Anarchy Online,2017-02-22,Funcom,Funcom
53,24200,DC Universe Online,2011-11-02,Dimensional Ink Games,Daybreak Game Company
54,208090,Loadout,2014-01-31,Edge of Reality,Edge of Reality
55,761890,Albion Online,2017-07-17,Sandbox Interactive GmbH,Sandbox Interactive GmbH
56,808290,Runes of Magic,2009-03-19,Runewaker Entertainment,Gameforge 4D GmbH‬
57,113420,Fallen Earth Free2Play,2011-10-12,Little Orbit,Little Orbit
58,22350,BRINK,2011-05-09,Splash Damage,Bethesda Softworks
59,433850,Z1 Battle Royale,2018-02-28,Daybreak Game Company,Daybreak Game Company
60,459160,Allods Online,2009-10-01,IT Territory,MY.GAMES
61,230410,Warframe,2013-03-25,Digital Extremes,Digital Extremes
62,790710,World of Warplanes,2018-09-12,Wargaming Group Limited, Wargaming Group Limited
63,381640,Allods Online RU,2009-10-01,IT Territory,MY.GAMES
64,530630,Empires Apart,2018-03-29,DESTINYbit,Slitherine Ltd.
65,793170,Seeking Dawn: Free to Play Edition,2018-11-01,Multiverse,Multiverse
66,480430,Hide and Shriek,2017-10-19,Funcom,Funcom
67,219340,The Banner Saga: Factions,2013-02-25,Stoic,Versus Evil
68,9900,Star Trek Online,2010-02-02,Cryptic Studios,Perfect World Entertainment
69,235340,Prime World,2014-03-31,Nival,Nival
70,381990,Dragon Saga,2010-10-28,Gravity Interactive,Gravity Interactive
71,382120,Journey To The Center Of The Earth,2015-09-23,InSayn,InSayn
72,224600,Defiance,2014-06-04,Trion Worlds,Trion Worlds
73,99900,Spiral Knights,2011-06-14,"Grey Havens, LLC","Grey Havens, LLC"
74,373720,Ryzom,2016-05-06,Winch Gate Property Limited,Winch Gate Property Limited
75,588430,Fallout Shelter,2017-03-29,Bethesda Game Studios,Bethesda Softworks
76,429680,Spellweaver,2016-02-01,Dream Reactor,Dream Reactor
77,259020,Dragon's Prophet,2013-09-18,Runewaker,Infernum Productions AG
78,333930,Dirty Bomb,2015-06-01,Splash Damage,Warchest Ltd.
