,ID,Game,ReleaseDate,Developer,Publisher
0,373420,Divinity: Original Sin - Enhanced Edition,2015-10-27,Larian Studios,Larian Studios
1,620980,Beat Saber,2019-05-21,Beat Games,Beat Games
2,391540,Undertale,2015-09-15,tobyfox,tobyfox
3,202200,Galactic Civilizations II: Ultimate Edition,2011-12-02,Stardock Entertainment,Stardock Entertainment
4,402430,Out of the Park Baseball 17,2016-03-22,Out of the Park Developments,Out of the Park Developments
5,214560,Mark of the Ninja,0000-00-00,Klei Entertainment,Microsoft Studios
6,269710,Tumblestone,2016-07-12,The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild
7,224760,FEZ,2013-05-01,Polytron Corporation,Trapdoor
8,26800,Braid,2009-04-10,Number None,Number None
9,22000,World of Goo,2008-10-13,2D BOY,2D BOY
10,590380,Into the Breach,2018-02-27,Subset Games,Subset Games
11,353540,Stephen's Sausage Roll,2016-04-17,increpare games,increpare games
12,469790,Linelight,2017-01-30,My Dog Zorro,My Dog Zorro
13,558990,Opus Magnum,2017-12-07,Zachtronics,Zachtronics
14,239350,Spelunky,2013-08-08,Mossmouth,Mossmouth
15,225080,Brothers - A Tale of Two Sons,2013-09-03,Starbreeze Studios AB,505 Games
16,354400,Tadpole Treble,2016-09-02,BitFinity,"BitFinity, Sunken Treasure Games"
17,588650,Dead Cells,2018-08-06,Motion Twin,Motion Twin
18,636450,Rez Infinite,2017-08-09,"Monstars Inc., Resonair",Enhance
19,653530,Return of the Obra Dinn,2018-10-18,Lucas Pope,3909
20,413150,Stardew Valley,2016-02-26,ConcernedApe,ConcernedApe
21,242680,Nuclear Throne,2015-12-05,Vlambeer,Vlambeer
22,646570,Slay the Spire,2019-01-23,Mega Crit Games,Mega Crit Games
23,501300,What Remains of Edith Finch,2017-04-24,Giant Sparrow,Annapurna Interactive
24,268910,Cuphead,2017-09-29,Studio MDHR Entertainment Inc.,Studio MDHR Entertainment Inc.
25,48000,LIMBO,2011-08-02,Playdead,Playdead
26,200710,Torchlight II,2012-09-20,Runic Games,Runic Games
27,220200,Kerbal Space Program,2015-04-27,Squad,Private Division
28,214770,Guacamelee! Gold Edition,2013-08-08,DrinkBox Studios,DrinkBox Studios
29,115800,Owlboy,2016-11-01,D-Pad Studio,D-Pad Studio
30,221910,The Stanley Parable,2013-10-17,Galactic Cafe,Galactic Cafe
31,809230,Unity of Command II,2019-11-12,"2x2 Games, Croteam",2x2 Games
32,214700,Thirty Flights of Loving,2012-08-20,Blendo Games,Blendo Games
33,221640,Super Hexagon,2012-11-27,Terry Cavanagh,Terry Cavanagh
34,504230,Celeste,2018-01-25,Matt Makes Games Inc.,Matt Makes Games Inc.
35,519860,DUSK,2018-12-10,David Szymanski,New Blood Interactive
36,251470,TowerFall Ascension,2014-03-11,Matt Thorson,Matt Makes Games Inc.
