,ID,Game,ReleaseDate,Developer,Publisher
0,29540,Guild Wars<sup></sup> Game of the Year Edition,2005-04-28,ArenaNet®,NCsoft
1,8500,EVE Online,2003-05-06,CCP,CCP
2,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2017-12-21,PUBG Corporation,PUBG Corporation
3,212500,The Lord of the Rings Online,2012-06-06,"Standing Stone Games, LLC","Standing Stone Games, LLC"
4,238960,Path of Exile,2013-10-23,Grinding Gear Games,Grinding Gear Games
5,218230,PlanetSide 2,2012-11-20,Rogue Planet Games,Daybreak Game Company
6,29580,Guild Wars Nightfall<sup></sup>,2009-04-22,ArenaNet®,NCsoft
7,39120,RIFT,2013-10-24,Trion Worlds,Trion Worlds
8,29560,Guild Wars Factions<sup></sup>,2009-04-22,ArenaNet®,NCsoft
9,39210,FINAL FANTASY XIV Online,2014-02-18,Square Enix,Square Enix
10,201230,EverQuest II,2011-12-07,Darkpaw Games,Daybreak Game Company
11,376570,WildStar,2014-06-03,Carbine Studios,NCSOFT
12,200210,Realm of the Mad God,2012-02-20,"Wild Shadow Studios, Deca Games",Deca Games
13,397060,Faeria,2017-03-08,Abrakam SA,Versus Evil
14,552990,World of Warships,2017-11-15,Wargaming Group Limited,Wargaming Group Limited
15,236390,War Thunder,2013-08-15,Gaijin Entertainment,Gaijin Entertainment
16,418460,Rising Storm 2: Vietnam,2017-05-30,"Antimatter Games, Tripwire Interactive",Tripwire Interactive
17,359320,Elite Dangerous,2015-04-02,Frontier Developments,Frontier Developments
18,304030,ArcheAge,2015-03-26,XLGAMES,Trion Worlds
19,215100,Ragnarok Online,2003-06-01,Gravity Interactive,Gravity Interactive
20,29700,Guild Wars: Eye of the North,2007-08-31,ArenaNet®,NCsoft
21,6370,Bloodline Champions,2011-01-13,Stunlock Studios,Stunlock Studios
22,266410,iRacing,2015-01-12,"iRacing.com Motorsport Simulations, iRacing","iRacing.com Motorsport Simulations, iRacing"
23,495910,Dungeon Fighter Online,2016-08-09,Neople,Neople
24,323370,TERA,2015-05-05,"Bluehole, Inc.",En Masse Entertainment
25,35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2011-09-13,Tripwire Interactive,Tripwire Interactive
26,212160,Vindictus,2012-06-22,devCAT,NEXON Korea Corp. &amp; NEXON America Inc.
27,215080,WAKFU,2014-09-18,Ankama Studio,Ankama Games
28,215280,Secret World Legends,2017-07-31,Funcom,Funcom
29,212070,Star Conflict,2013-02-27,Star Gem Inc.,Gaijin Entertainment
30,47410,Stronghold Kingdoms,2012-02-27,FireFly Studios,FireFly Studios
31,109600,Neverwinter,2013-12-05,Cryptic Studios,Perfect World Entertainment
32,582660,Black Desert Online,2017-05-24,Pearl Abyss,Kakao Games Europe B.V.
33,251950,WWII Online,2001-06-06,Cornered Rat Software,Cornered Rat Software
34,24200,DC Universe Online,2011-11-02,Dimensional Ink Games,Daybreak Game Company
35,254300,Dofus,2016-11-15,Ankama Studio,Ankama Games
36,9880,Champions Online,2009-09-01,Cryptic Studios,Perfect World Entertainment
37,761890,Albion Online,2017-07-17,Sandbox Interactive GmbH,Sandbox Interactive GmbH
38,396280,Anarchy Online,2017-02-22,Funcom,Funcom
39,299360,Block N Load,2015-04-30,"Toadman Interactive, Jagex, Artplant","Toadman Interactive, Jagex"
40,433530,Heliborne,2017-10-12,Klabater,Klabater
41,241560,The Crew,2014-12-01,Ivory Tower in collaboration with Ubisoft Reflections,Ubisoft
42,113420,Fallen Earth Free2Play,2011-10-12,Little Orbit,Little Orbit
43,808290,Runes of Magic,2009-03-19,Runewaker Entertainment,Gameforge 4D GmbH‬
44,346110,ARK: Survival Evolved,2017-08-27,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard
45,433850,Z1 Battle Royale,2018-02-28,Daybreak Game Company,Daybreak Game Company
46,242860,Verdun,2015-04-28,"M2H, Blackmill Games",M2H
47,381640,Allods Online RU,2009-10-01,IT Territory,MY.GAMES
48,252490,Rust,2018-02-08,Facepunch Studios,Facepunch Studios
49,459160,Allods Online,2009-10-01,IT Territory,MY.GAMES
50,790710,World of Warplanes,2018-09-12,Wargaming Group Limited, Wargaming Group Limited
51,633460,Tannenberg,2017-11-16,"M2H, Blackmill Games",M2H
52,440900,Conan Exiles,2018-05-08,Funcom,Funcom
53,9900,Star Trek Online,2010-02-02,Cryptic Studios,Perfect World Entertainment
54,381990,Dragon Saga,2010-10-28,Gravity Interactive,Gravity Interactive
55,235340,Prime World,2014-03-31,Nival,Nival
56,99900,Spiral Knights,2011-06-14,"Grey Havens, LLC","Grey Havens, LLC"
57,373720,Ryzom,2016-05-06,Winch Gate Property Limited,Winch Gate Property Limited
58,224600,Defiance,2014-06-04,Trion Worlds,Trion Worlds
59,429680,Spellweaver,2016-02-01,Dream Reactor,Dream Reactor
60,259020,Dragon's Prophet,2013-09-18,Runewaker,Infernum Productions AG
61,291480,Warface,2014-07-01,MY.GAMES,MY.GAMES
62,376140,SAGA,2008-03-07,"Silverlode Interactive, Wasatch Games",Silverlode Interactive
63,390090,Shot Online,2019-01-21,WEBZEN ONNET,WEBZEN
