,ID,Game,ReleaseDate,Developer,Publisher
0,7670,BioShock,2007-08-21,"2K Boston, 2K Australia",2K
1,72850,The Elder Scrolls V: Skyrim,2011-11-10,Bethesda Game Studios,Bethesda Softworks
2,24980,Mass Effect 2,2010-01-26,BioWare,Electronic Arts
3,373420,Divinity: Original Sin - Enhanced Edition,2015-10-27,Larian Studios,Larian Studios
4,901242,Mass Effect 2 Digital Deluxe Edition,2010-01-27,BioWare,Electronic Arts
5,22330,The Elder Scrolls IV: Oblivion Game of the Year Edition,2009-06-16,Bethesda Game Studios,Bethesda Softworks
6,435150,Divinity: Original Sin 2 - Definitive Edition,2017-09-14,Larian Studios,Larian Studios
7,292030,The Witcher 3: Wild Hunt,2015-05-18,CD PROJEKT RED,CD PROJEKT RED
8,391540,Undertale,2015-09-15,tobyfox,tobyfox
9,238210,System Shock 2,1999-08-11,"Irrational Games, Looking Glass Studios",Nightdive Studios
10,632470,Disco Elysium,2019-10-15,ZA/UM,ZA/UM
11,236430,DARK SOULS II,2014-04-25,"FromSoftware, Inc","BANDAI NAMCO Entertainment, FromSoftware, Inc"
12,22370,Fallout 3: Game of the Year Edition,2009-12-17,Bethesda Game Studios,Bethesda Softworks
13,47810,Dragon Age: Origins - Ultimate Edition,2010-10-26,BioWare,Electronic Arts
14,238010,Deus Ex: Human Revolution - Director's Cut,2013-10-25,Eidos Montreal,Square Enix
15,17450,Dragon Age: Origins,2009-11-05,BioWare,Electronic Arts
16,6310,The Longest Journey,2007-05-01,Funcom,Funcom
17,22300,Fallout 3,2008-10-28,Bethesda Game Studios,Bethesda Softworks
18,590380,Into the Breach,2018-02-27,Subset Games,Subset Games
19,8880,Freedom Force,2009-05-29,Irrational Games,2K
20,17460,Mass Effect,2008-12-19,BioWare,Electronic Arts
21,413150,Stardew Valley,2016-02-26,ConcernedApe,ConcernedApe
22,38400,Fallout: A Post Nuclear Role Playing Game,1997-09-30,Interplay Inc.,Bethesda Softworks
23,291650,Pillars of Eternity,2015-03-26,Obsidian Entertainment,Paradox Interactive
24,49520,Borderlands 2,2012-09-17,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
25,242680,Nuclear Throne,2015-12-05,Vlambeer,Vlambeer
26,29540,Guild Wars<sup></sup> Game of the Year Edition,2005-04-28,ArenaNet®,NCsoft
27,22320,The Elder Scrolls III: Morrowind Game of the Year Edition,2009-06-16,Bethesda Game Studios,Bethesda Softworks
28,3920,Sid Meier's Pirates!,2005-07-11,Firaxis Games,2K
29,200710,Torchlight II,2012-09-20,Runic Games,Runic Games
30,8500,EVE Online,2003-05-06,CCP,CCP
31,20920,The Witcher 2: Assassins of Kings Enhanced Edition,2011-05-17,CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub"
32,560130,Pillars of Eternity II: Deadfire,2018-05-08,Obsidian Entertainment,"Versus Evil, Obsidian Entertainment"
33,230230,Divinity: Original Sin (Classic),2014-06-30,Larian Studios,Larian Studios
34,300550,Shadowrun: Dragonfall - Director's Cut,2014-09-18,Harebrained Schemes,Paradox Interactive
35,596970,SUNLESS SKIES,2019-01-31,Failbetter Games,Failbetter Games
