,ID,Game,ReleaseDate,Developer,Publisher
0,211600,Thief Gold,1998-11-30,Looking Glass Studios,Square Enix
1,402430,Out of the Park Baseball 17,2016-03-22,Out of the Park Developments,Out of the Park Developments
2,590380,Into the Breach,2018-02-27,Subset Games,Subset Games
3,558990,Opus Magnum,2017-12-07,Zachtronics,Zachtronics
4,15210,Silent Hunter III,2008-06-13,Ubisoft,Ubisoft
5,442120,Pinball FX3,2017-09-26,Zen Studios,Zen Studios
6,287450,Rise of Nations: Extended Edition,2014-06-12,"SkyBox Labs, Big Huge Games",Xbox Game Studios
7,413150,Stardew Valley,2016-02-26,ConcernedApe,ConcernedApe
8,515220,F1 2017,2017-08-24,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)"
9,220200,Kerbal Space Program,2015-04-27,Squad,Private Division
10,809230,Unity of Command II,2019-11-12,"2x2 Games, Croteam",2x2 Games
11,294100,RimWorld,2018-10-17,Ludeon Studios,Ludeon Studios
12,881420,Six Ages: Ride Like the Wind,2019-10-17,A Sharp,Kitfox Games
13,577800,NBA 2K18,2017-09-14,Visual Concepts,2K
14,236850,Europa Universalis IV,2013-08-13,Paradox Development Studio,Paradox Interactive
15,928600,F1 2019,2019-06-27,Codemasters,Codemasters
16,211740,Thief II: The Metal Age,2000-03-21,Looking Glass Studios,Square Enix
17,368370,Her Story,2015-06-24,Sam Barlow,Sam Barlow
18,457140,Oxygen Not Included,2019-07-30,Klei Entertainment,Klei Entertainment
19,47890,The Sims 3,2009-06-02,The Sims Studio,Electronic Arts
20,310560,DiRT Rally,2015-12-07,"Codemasters Racing Studio, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)"
21,15320,IL-2 Sturmovik: 1946,2008-06-13,1C: Maddox Games,1C Entertainment
22,391040,F1 2016,2016-08-18,"Codemasters, Feral Interactive (Mac)","Codemasters, Feral Interactive (Mac)"
23,700480,Microsoft Allegiance,2017-09-29,Microsoft Game Studios,ZapHop Games
24,872790,Football Manager 2019,2018-11-02,Sports Interactive,SEGA
25,244160,Homeworld Remastered Collection,2015-02-25,Gearbox Software,Gearbox Publishing
26,465650,Out of the Park Baseball 18,2017-03-24,Out of the Park Developments,Out of the Park Developments
27,244210,Assetto Corsa,2014-12-19,Kunos Simulazioni,Kunos Simulazioni
28,255710,Cities: Skylines,2015-03-10,Colossal Order Ltd.,Paradox Interactive
29,429530,Falcon 4.0,2016-01-08,Microprose,Retroism
30,212680,FTL: Faster Than Light,2012-09-14,Subset Games,Subset Games
31,493340,Planet Coaster,2016-11-17,Frontier Developments,Frontier Developments
32,17390,SPORE,2008-12-19,Maxis™,Electronic Arts
33,306660,Ultimate General: Gettysburg,2014-10-16,Game-Labs,Game-Labs
34,762830,Telling Lies,2019-08-23,"Sam Barlow, Furious Bee Limited",Annapurna Interactive
35,44690,GT Legends,2005-09-26,SimBin Studios AB,SimBin
36,323190,Frostpunk,2018-04-24,11 bit studios,11 bit studios
37,690790,DiRT Rally 2.0,2019-02-25,Codemasters,Codemasters
38,1100600,Football Manager 2020,2019-11-18,Sports Interactive,SEGA
39,660160,Field of Glory II,2017-10-12,Byzantine Games,Slitherine Ltd.
40,92800,SpaceChem,2011-03-02,Zachtronics,Zachtronics
41,242760,The Forest,2018-04-30,Endnight Games Ltd,Endnight Games Ltd
42,234630,Project CARS,2015-03-15,Slightly Mad Studios,"Slightly Mad Studios, BANDAI NAMCO Entertainment"
43,72200,Universe Sandbox Legacy,2011-04-29,Giant Army,Giant Army
44,359630,Independence War 2: Edge of Chaos,2001-06-29,Particle Systems Ltd.,Atari
45,248610,Door Kickers,2014-10-20,KillHouse Games,KillHouse Games
46,453090,Parkitect,2018-11-29,Texel Raptor,Texel Raptor
47,44360,F1 2011,2011-09-19,Codemasters Birmingham,Codemasters
48,394360,Hearts of Iron IV,2016-06-06,Paradox Development Studio,Paradox Interactive
49,414870,Super Mega Baseball 2,2018-04-30,Metalhead Software Inc.,Metalhead Software Inc.
50,233450,Prison Architect,2015-10-06,"Double Eleven, Introversion Software",Paradox Interactive
51,535930,Two Point Hospital,2018-08-29,Two Point Studios,SEGA
52,384190,ABZU,2016-08-02,Giant Squid,505 Games
53,322330,Don't Starve Together,2016-04-21,Klei Entertainment,Klei Entertainment
54,282070,This War of Mine,2014-11-14,11 bit studios,11 bit studios
55,737800,F1 2018,2018-08-23,Codemasters,Codemasters
56,572410,Steel Division: Normandy 44,2017-05-23,Eugen Systems,Paradox Interactive
57,33210,Dawn of Discovery,2009-06-23,"Blue Byte, Related Designs",Ubisoft
58,203770,Crusader Kings II,2012-02-14,Paradox Development Studio,Paradox Interactive
59,328900,B-17 Flying Fortress: The Mighty 8th,2000-12-13,Wayward Design,"Retroism, Nightdive Studios"
60,365450,Hacknet,2015-08-12,Team Fractal Alligator,Fellow Traveller
61,844590,Hypnospace Outlaw,2019-03-12,"Tendershoot, Michael Lasch, ThatWhichIs Media",No More Robots
62,39520,The Guild Gold Edition,2002-11-18,4HEAD Studios,THQ Nordic
63,228380,Wreckfest,2018-06-14,Bugbear,THQ Nordic
64,916440,Anno 1800,2019-04-01,Blue Byte,Ubisoft
65,209830,Lone Survivor: The Director's Cut,2012-04-23,Jasper Byrne,Superflat Games
66,448510,Overcooked,2016-08-03,Ghost Town Games Ltd.,Team17 Digital Ltd
67,717640,Reigns: Her Majesty,2017-12-06,"Nerial, Synaptic Insight Technology Systems",Devolver Digital
68,411310,"Codename: Panzers, Phase One",2016-02-18,"Stormregion, THQ Nordic",THQ Nordic
69,236390,War Thunder,2013-08-15,Gaijin Entertainment,Gaijin Entertainment
70,2700,RollerCoaster Tycoon 3: Platinum,2008-03-12,"Frontier, Aspyr (Mac)","Atari, Aspyr (Mac)"
71,415200,Motorsport Manager,2016-11-09,Playsport Games,SEGA
72,523780,Emily is Away Too,2017-05-26,Kyle Seeley,Kyle Seeley
