,ID,Game,ReleaseDate,Developer,Publisher
0,402430,Out of the Park Baseball 17,2016-03-22,Out of the Park Developments,Out of the Park Developments
1,385760,NBA 2K17,2016-09-20,Visual Concepts,2K
2,515220,F1 2017,2017-08-24,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)"
3,577800,NBA 2K18,2017-09-14,Visual Concepts,2K
4,928600,F1 2019,2019-06-27,Codemasters,Codemasters
5,465650,Out of the Park Baseball 18,2017-03-24,Out of the Park Developments,Out of the Park Developments
6,310560,DiRT Rally,2015-12-07,"Codemasters Racing Studio, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)"
7,252950,Rocket League,2015-07-07,Psyonix LLC,Psyonix LLC
8,391040,F1 2016,2016-08-18,"Codemasters, Feral Interactive (Mac)","Codemasters, Feral Interactive (Mac)"
9,872790,Football Manager 2019,2018-11-02,Sports Interactive,SEGA
10,244210,Assetto Corsa,2014-12-19,Kunos Simulazioni,Kunos Simulazioni
11,1100600,Football Manager 2020,2019-11-18,Sports Interactive,SEGA
12,207140,SpeedRunners,2016-04-19,DoubleDutch Games,tinyBuild
13,488920,Knockout League - Arcade VR Boxing,2018-02-13,Grab Games,Grab Games
14,690790,DiRT Rally 2.0,2019-02-25,Codemasters,Codemasters
15,590690,Sprint Vector,2018-02-08,Survios,Survios
16,44690,GT Legends,2005-09-26,SimBin Studios AB,SimBin
17,414870,Super Mega Baseball 2,2018-04-30,Metalhead Software Inc.,Metalhead Software Inc.
18,737800,F1 2018,2018-08-23,Codemasters,Codemasters
19,234630,Project CARS,2015-03-15,Slightly Mad Studios,"Slightly Mad Studios, BANDAI NAMCO Entertainment"
20,44360,F1 2011,2011-09-19,Codemasters Birmingham,Codemasters
21,261180,Lethal League,2014-08-27,Team Reptile,Team Reptile
22,365660,OlliOlli2: Welcome to Olliwood,2015-08-11,Roll7,Devolver Digital
23,63200,Monday Night Combat,2011-01-24,Uber Entertainment,Uber Entertainment
24,277390,VIDEOBALL,2016-07-12,"Action Button Entertainment, LLC",Iron Galaxy
25,389730,TEKKEN 7,2017-06-01,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment
26,94400,Nidhogg,2014-01-13,Messhof,Messhof
27,228380,Wreckfest,2018-06-14,Bugbear,THQ Nordic
28,592580,PRO EVOLUTION SOCCER 2018,2017-09-13,"Konami Digital Entertainment Co., Ltd.",Konami Digital Entertainment
29,228760,TrackMania² Canyon,2011-09-14,Nadeo,Ubisoft
30,15520,AaAaAA!!! - A Reckless Disregard for Gravity,2009-09-03,"Dejobaan Games, LLC","Dejobaan Games, LLC"
31,415200,Motorsport Manager,2016-11-09,Playsport Games,SEGA
32,398640,Bowl Bound College Football,2015-09-03,Grey Dog Software,Viva Meda
33,882020,Monster Energy Supercross - The Official Videogame 2,2019-02-08,Milestone S.r.l.,Milestone S.r.l.
34,208500,F1 2012,2012-09-17,Codemasters Birmingham,Codemasters
35,638000,When Ski Lifts Go Wrong,2019-01-23,Hugecalf Studios,Curve Digital
36,770240,PRO EVOLUTION SOCCER 2019,2018-08-29,Konami Digital Entertainment,Konami Digital Entertainment
37,44350,GRID 2,0000-00-00,Codemasters Racing,Codemasters
38,711540,Lonely Mountains: Downhill,2019-10-23,Megagon Industries,Thunderful Publishing
39,237350,Frozen Cortex,2015-02-19,Mode 7,Mode 7
40,243360,TrackMania² Valley,2013-07-04,Nadeo,Ubisoft
41,266410,iRacing,2015-01-12,"iRacing.com Motorsport Simulations, iRacing","iRacing.com Motorsport Simulations, iRacing"
42,681280,Descenders,2019-05-07,RageSquid,No More Robots
43,255220,GRID Autosport,2014-06-26,"Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)"
44,274250,OlliOlli,2014-07-22,"Roll7, General Arcade",Devolver Digital
45,570460,Laser League,2018-05-10,Roll7,505 Games
46,421020,DiRT 4,2017-06-08,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)"
47,232910,TrackMania² Stadium,2013-02-27,Nadeo,Ubisoft
