,ID,Game,ReleaseDate,Developer,Publisher
0,373420,Divinity: Original Sin - Enhanced Edition,2015-10-27,Larian Studios,Larian Studios
1,3900,Sid Meier's Civilization IV,2005-10-25,Firaxis Games,2K
2,228200,Company of Heroes,2006-09-11,Relic Entertainment,SEGA
3,435150,Divinity: Original Sin 2 - Definitive Edition,2017-09-14,Larian Studios,Larian Studios
4,4560,Company of Heroes - Legacy Edition,2007-07-17,Relic Entertainment,SEGA
5,202200,Galactic Civilizations II: Ultimate Edition,2011-12-02,Stardock Entertainment,Stardock Entertainment
6,402430,Out of the Park Baseball 17,2016-03-22,Out of the Park Developments,Out of the Park Developments
7,4760,Rome: Total War - Collection,2007-08-28,CREATIVE ASSEMBLY,SEGA
8,269710,Tumblestone,2016-07-12,The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild
9,8880,Freedom Force,2009-05-29,Irrational Games,2K
10,570,Dota 2,2013-07-09,Valve,Valve
11,8930,Sid Meier's Civilization V,2010-09-21,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
12,26800,Braid,2009-04-10,Number None,Number None
13,590380,Into the Breach,2018-02-27,Subset Games,Subset Games
14,201270,Total War: SHOGUN 2,2011-03-15,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
15,10500,Total War: EMPIRE – Definitive Edition,2009-03-04,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
16,3910,Sid Meier's Civilization III Complete,2001-10-30,Firaxis Games,2K
17,200510,XCOM: Enemy Unknown,2012-10-08,"Firaxis Games, Feral Interactive (Linux)","2K, Feral Interactive (Linux)"
18,646570,Slay the Spire,2019-01-23,Mega Crit Games,Mega Crit Games
19,287450,Rise of Nations: Extended Edition,2014-06-12,"SkyBox Labs, Big Huge Games",Xbox Game Studios
20,7620,Railroad Tycoon II Platinum,1998-10-31,PopTop,2K
21,8500,EVE Online,2003-05-06,CCP,CCP
22,809230,Unity of Command II,2019-11-12,"2x2 Games, Croteam",2x2 Games
23,268500,XCOM 2,2016-02-04,"Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)","2K, Feral Interactive (Mac), Feral Interactive (Linux)"
24,610860,Shogo: Mobile Armor Division,2017-04-14,Monolith Productions,Interplay Entertainment Corp.
25,289070,Sid Meier’s Civilization VI,2016-10-20,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
26,294100,RimWorld,2018-10-17,Ludeon Studios,Ludeon Studios
27,410380,HEX: Shards of Fate,2016-04-19,Hex Entertainment,Hex Entertainment
28,240760,Wasteland 2: Director's Cut,2014-09-18,inXile Entertainment,inXile Entertainment
29,594570,Total War: WARHAMMER II,2017-09-28,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
30,427270,Orcs Must Die! Unchained,2017-04-19,Robot Entertainment,Robot Entertainment
31,4580,"Warhammer 40,000: Dawn of War - Dark Crusade",2007-08-07,Relic Entertainment,SEGA
32,230230,Divinity: Original Sin (Classic),2014-06-30,Larian Studios,Larian Studios
33,6830,Commandos 2: Men of Courage,2007-03-15,Pyro Studios,Kalypso Media Digital
34,97110,Kohan: Immortal Sovereigns,2001-03-15,TimeGate Studios,TimeGate Studios
35,9340,Company of Heroes: Opposing Fronts,2007-09-24,Relic Entertainment,SEGA
36,236850,Europa Universalis IV,2013-08-13,Paradox Development Studio,Paradox Interactive
37,201290,Sins of a Solar Empire: Trinity,2011-11-16,"Ironclad Games, Stardock Entertainment",Stardock Entertainment
38,436320,Raw Data,2017-10-05,Survios,Survios
39,881420,Six Ages: Ride Like the Wind,2019-10-17,A Sharp,Kitfox Games
40,3590,Plants vs. Zombies GOTY Edition,2009-05-05,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts"
41,300550,Shadowrun: Dragonfall - Director's Cut,2014-09-18,Harebrained Schemes,Paradox Interactive
42,4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",2007-08-07,Relic Entertainment,SEGA
