,ID,Game
0,271590,Grand Theft Auto V
1,620,Portal 2
2,373420,Divinity: Original Sin - Enhanced Edition
3,546560,Half-Life: Alyx
4,1174180,Red Dead Redemption 2
5,435150,Divinity: Original Sin 2 - Definitive Edition
6,587620,OKAMI HD / 大神 絶景版
7,287700,METAL GEAR SOLID V: THE PHANTOM PAIN
8,35140,Batman: Arkham Asylum Game of the Year Edition
9,205100,Dishonored
10,6310,The Longest Journey
11,214560,Mark of the Ninja
12,200260,Batman: Arkham City - Game of the Year Edition
13,901583,Grand Theft Auto IV: Complete Edition
14,225080,Brothers - A Tale of Two Sons
15,460790,Bayonetta
16,354400,Tadpole Treble
17,469790,Linelight
18,12210,Grand Theft Auto IV: The Complete Edition
19,730820,The Curse of Monkey Island
20,653530,Return of the Obra Dinn
21,13600,Prince of Persia: The Sands of Time
22,501300,What Remains of Edith Finch
23,814380,Sekiro: Shadows Die Twice
24,610860,Shogo: Mobile Armor Division
25,481510,Night in the Woods
26,214770,Guacamelee! Gold Edition
27,48190,Assassin’s Creed Brotherhood
28,115800,Owlboy
29,200710,Torchlight II
30,48000,LIMBO
31,220240,Far Cry 3
32,40990,Mafia
33,504230,Celeste
34,221910,The Stanley Parable
35,214700,Thirty Flights of Loving
36,747350,Hellblade: Senua's Sacrifice VR Edition
37,412830,STEINS;GATE
38,230230,Divinity: Original Sin (Classic)
39,393520,Iconoclasts
40,240760,Wasteland 2: Director's Cut
41,597220,West of Loathing
42,300550,Shadowrun: Dragonfall - Director's Cut
43,32460,Monkey Island 2 Special Edition: LeChuck’s Revenge
44,231160,The Swapper
45,314660,Oddworld: New 'n' Tasty
46,336140,Unavowed
47,210970,The Witness
48,367520,Hollow Knight
49,304430,INSIDE
50,269050,Year Walk
51,596970,SUNLESS SKIES
52,410380,HEX: Shards of Fate
53,264710,Subnautica
54,32360,The Secret of Monkey Island: Special Edition
55,203160,Tomb Raider
56,578080,PLAYERUNKNOWN'S BATTLEGROUNDS
57,905690,魔物讨伐团
58,391220,Rise of the Tomb Raider
59,21690,Resident Evil 5/ Biohazard 5
60,207490,Rayman Origins
61,238960,Path of Exile
62,638970,Yakuza 0
63,232430,Gone Home
64,368370,Her Story
65,388210,Day of the Tentacle Remastered
66,526140,The Gallery - Episode 2: Heart of the Emberstone
67,730830,Escape from Monkey Island
68,477740,Zero Escape: The Nonary Games
69,33230,Assassin's Creed 2 Deluxe Edition
70,206420,Saints Row IV
71,416600,Full Metal Furies
72,257510,The Talos Principle
73,528720,Shu
74,239030,"Papers, Please"
75,13530,Prince of Persia: The Two Thrones
76,402530,The Last Door: Season 2 - Collector's Edition
77,8290,Sam & Max 204: Chariots of the Dogs
78,220440,DmC: Devil May Cry
79,813630,Supraland
80,600370,Paradigm
81,557750,Giants: Citizen Kabuto
82,238460,BattleBlock Theater
83,57300,Amnesia: The Dark Descent
84,410710,System Shock: Enhanced Edition
85,40700,Machinarium
86,250320,The Wolf Among Us
87,973760,Thronebreaker: The Witcher Tales
88,31820,Nancy Drew: The Haunted Carousel
89,571310,SteamWorld Dig 2
90,241600,Rogue Legacy
91,245450,Wizardry 8
92,250760,Shovel Knight: Treasure Trove
93,1072420,DRAGON QUEST BUILDERS 2
94,466300,Planescape: Torment: Enhanced Edition
95,390290,Bulb Boy
96,35720,Trine 2: Complete Story
97,762830,Telling Lies
98,1116780,Shovel Knight: King of Cards
99,311690,Enter the Gungeon
100,8190,Just Cause 2
101,683320,GRIS
102,559210,Rakuen
103,897820,Reigns: Game of Thrones
104,814360,Mythic Ocean
105,583470,The End Is Nigh
106,381780,80 Days
107,282140,SOMA
108,316790,Grim Fandango Remastered
109,557600,Gorogoa
110,362890,Black Mesa
111,113200,The Binding of Isaac
112,569860,Thimbleweed Park
113,584400,Sonic Mania
114,37400,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition Double Pack"
115,257850,Hyper Light Drifter
116,334940,Yoku's Island Express
117,1060600,Lair of the Clockwork God
118,553640,ICEY
119,534550,Guacamelee! 2
120,274190,Broforce
121,50620,Darksiders
122,95400,ibb & obb
123,324160,CLANNAD
124,204030,Fable - The Lost Chapters
125,230980,Starseed Pilgrim
126,282070,This War of Mine
127,414340,Hellblade: Senua's Sacrifice
128,1085660,Destiny 2
129,418370,RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil
130,555220,Detention
131,200900,Cave Story+
132,847370,Sunset Overdrive
133,252130,Divide By Sheep
134,925930,Myst III: Exile
135,219990,Grim Dawn
136,8000,Tomb Raider: Anniversary
137,503400,Four Last Things
138,322330,Don't Starve Together
139,113020,Monaco: What's Yours Is Mine
140,900270,Reventure
141,552590,The Sexy Brutale
142,278640,Terrian Saga: KR-17
143,105600,Terraria
144,384190,ABZU
145,413420,Danganronpa 2: Goodbye Despair
146,63610,Riven: The Sequel to MYST
147,339090,Pig Eat Ball
148,242760,The Forest
149,960690,One Step From Eden
150,676820,Subsurface Circular
151,251830,Stick it to The Man!
152,802890,Muv-Luv Alternative (マブラヴ オルタネイティヴ)
153,15130,Beyond Good and Evil
154,13500,Prince of Persia: Warrior Within
155,108710,Alan Wake
156,110800,L.A. Noire
157,512790,Quern - Undying Thoughts
