,ID,Game
0,440,Team Fortress 2
1,570,Dota 2
2,8500,EVE Online
3,427270,Orcs Must Die! Unchained
4,410380,HEX: Shards of Fate
5,700480,Microsoft Allegiance
6,238960,Path of Exile
7,17080,Tribes: Ascend
8,212500,The Lord of the Rings Online
9,504370,Battlerite
10,218230,PlanetSide 2
11,39120,RIFT
12,201230,EverQuest II
13,386360,SMITE
14,444090,Paladins
15,1085660,Destiny 2
16,730,Counter-Strike: Global Offensive
17,200210,Realm of the Mad God
18,203770,Crusader Kings II
19,291410,Duelyst
20,376570,WildStar
21,219830,King Arthur's Gold
22,312450,Order of Battle: World War II
23,236390,War Thunder
24,402570,Atlas Reactor
25,552990,World of Warships
26,293260,Card Hunter
27,304030,ArcheAge
28,41300,Altitude
29,215100,Ragnarok Online
30,845070,The Awesome Adventures of Captain Spirit
31,6370,Bloodline Champions
32,495910,Dungeon Fighter Online
33,204300,Awesomenauts - the 2D moba
34,244050,Rise of Flight United
35,323370,TERA
36,273350,Evolve Stage 2
37,212160,Vindictus
38,215280,Secret World Legends
39,327690,Gigantic
40,215080,WAKFU
41,47410,Stronghold Kingdoms
42,212070,Star Conflict
43,532840,CAYNE
44,209870,Blacklight: Retribution
45,109600,Neverwinter
46,544920,Darwin Project
47,223630,AirBuccaneers
48,251950,WWII Online
49,592890,Insidia
50,299360,Block N Load
51,9880,Champions Online
52,396280,Anarchy Online
53,24200,DC Universe Online
54,208090,Loadout
55,761890,Albion Online
56,808290,Runes of Magic
57,113420,Fallen Earth Free2Play
58,22350,BRINK
59,433850,Z1 Battle Royale
60,459160,Allods Online
61,230410,Warframe
62,790710,World of Warplanes
63,381640,Allods Online RU
64,530630,Empires Apart
65,793170,Seeking Dawn: Free to Play Edition
66,480430,Hide and Shriek
67,219340,The Banner Saga: Factions
68,9900,Star Trek Online
69,235340,Prime World
70,381990,Dragon Saga
71,382120,Journey To The Center Of The Earth
72,224600,Defiance
73,99900,Spiral Knights
74,373720,Ryzom
75,588430,Fallout Shelter
76,429680,Spellweaver
77,259020,Dragon's Prophet
78,333930,Dirty Bomb
79,469830,Fable Fortune
80,291480,Warface
81,376140,SAGA
82,390090,Shot Online
83,296630,Kraven Manor
84,326160,Shroud of the Avatar: Forsaken Virtues
85,230310,Akaneiro: Demon Hunters
86,743090,Defiance 2050
87,375950,Viridi
88,263500,Dragons and Titans
89,298260,Only If
90,927970,ForzeBreak
91,1147900,炼妖记
92,1189590,DEUS EX MACHINA: Stage Zero
93,696880,2D Paintball
94,1151860,Last Chance VR
95,586100,Heroes in the Sky-Origin
96,1161770,Breeders of the Nephelym: Alpha
97,301520,Robocraft
98,346900,AdVenture Capitalist
99,871720,Ultimate Custom Night
100,372000,Tree of Savior (English Ver.)
101,630100,SoulWorker - Anime Action MMO
102,203290,America's Army: Proving Grounds
103,212800,Super Crate Box
104,298240,WT3
105,429790,AdventureQuest 3D
106,436150,Governor of Poker 3
107,931690,Himno
108,897330,Coloring Pixels
109,457330,High Octane Drift
110,1093720,SlipSlop: World's Hardest Platformer Game
111,353360,how do you Do It?
112,351800,Dev Guy
113,1163130,Oasis
114,734750,PickCrafter
115,728730,Holyday City: Reloaded
116,917680,"one night, hot springs"
117,744810,A Raven Monologue
118,95700,The Cat and the Coup
119,420790,StarBreak
120,257710,Max Gentlemen
121,806510,Her Lie I Tried To Believe
122,1164850,Sinking Simulator
123,1084520,雀姬/姫麻雀
124,402560,Tabletopia
125,703950,Just Fishing
126,1084570,The Lar
127,525780,Doorways: Old Prototype
128,516510,Orake Classic
129,545650,High Profits
130,987020,DRONE The Game
131,1241950,Warzone 2100
132,671720,Robin
133,795580,THE DAY Online
134,340460,Spartans Vs Zombies Defense
135,1119060,The Designer's Curse
136,215120,ROSE Online
137,1026110,Racing Classics: Drag Race Simulator
138,913010,Your Dry Delight
139,906200,Tunche: Arena
140,1036950,Super Jigsaw Puzzle: Generations
