,ID,Game
0,373420,Divinity: Original Sin - Enhanced Edition
1,620980,Beat Saber
2,391540,Undertale
3,202200,Galactic Civilizations II: Ultimate Edition
4,402430,Out of the Park Baseball 17
5,214560,Mark of the Ninja
6,269710,Tumblestone
7,224760,FEZ
8,26800,Braid
9,22000,World of Goo
10,590380,Into the Breach
11,353540,Stephen's Sausage Roll
12,469790,Linelight
13,558990,Opus Magnum
14,239350,Spelunky
15,225080,Brothers - A Tale of Two Sons
16,354400,Tadpole Treble
17,588650,Dead Cells
18,636450,Rez Infinite
19,653530,Return of the Obra Dinn
20,413150,Stardew Valley
21,242680,Nuclear Throne
22,646570,Slay the Spire
23,501300,What Remains of Edith Finch
24,268910,Cuphead
25,48000,LIMBO
26,200710,Torchlight II
27,220200,Kerbal Space Program
28,214770,Guacamelee! Gold Edition
29,115800,Owlboy
30,221910,The Stanley Parable
31,809230,Unity of Command II
32,214700,Thirty Flights of Loving
33,221640,Super Hexagon
34,504230,Celeste
35,519860,DUSK
36,251470,TowerFall Ascension
37,393520,Iconoclasts
38,294100,RimWorld
39,736260,Baba Is You
40,300550,Shadowrun: Dragonfall - Director's Cut
41,597220,West of Loathing
42,210970,The Witness
43,41050,Serious Sam Classic: The First Encounter
44,336140,Unavowed
45,40800,Super Meat Boy
46,747350,Hellblade: Senua's Sacrifice VR Edition
47,367520,Hollow Knight
48,304430,INSIDE
49,247080,Crypt of the NecroDancer
50,230230,Divinity: Original Sin (Classic)
51,314660,Oddworld: New 'n' Tasty
52,436320,Raw Data
53,269050,Year Walk
54,264710,Subnautica
55,240760,Wasteland 2: Director's Cut
56,231160,The Swapper
57,596970,SUNLESS SKIES
58,201290,Sins of a Solar Empire: Trinity
59,465650,Out of the Park Baseball 18
60,600130,Valfaris
61,283680,Astebreed: Definitive Edition
62,405640,Pony Island
63,356400,Thumper
64,526140,The Gallery - Episode 2: Heart of the Emberstone
65,232430,Gone Home
66,252950,Rocket League
67,107100,Bastion
68,368370,Her Story
69,238960,Path of Exile
70,496620,Monster Slayers
71,905690,魔物讨伐团
72,457140,Oxygen Not Included
73,244210,Assetto Corsa
74,12900,AudioSurf
75,334140,Roche Fusion
76,41060,Serious Sam Classic: The Second Encounter
77,219150,Hotline Miami
78,57300,Amnesia: The Dark Descent
79,257510,The Talos Principle
80,418240,Shadow Tactics: Blades of the Shogun
81,578620,GORN
82,40700,Machinarium
83,434660,Octahedron: Transfixed Edition
84,366970,Mighty Switch Force! Hyper Drive Edition
85,241600,Rogue Legacy
86,528720,Shu
87,98200,Frozen Synapse
88,239030,"Papers, Please"
89,250760,Shovel Knight: Treasure Trove
90,813630,Supraland
91,285440,Crimzon Clover WORLD IGNITION
92,416600,Full Metal Furies
93,327500,Zenzizenzic
94,762610,Russian Subway Dogs
95,238460,BattleBlock Theater
96,571310,SteamWorld Dig 2
97,218060,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien
98,600370,Paradigm
99,595790,Hell is Other Demons
100,319050,Chaos Reborn
101,534550,Guacamelee! 2
102,590690,Sprint Vector
103,1520,DEFCON
104,20820,Shatter
105,113200,The Binding of Isaac
106,683320,GRIS
107,514340,Aliens Go Home Run
108,404540,Nex Machina
109,218090,Unity of Command: Stalingrad Campaign
110,1060600,Lair of the Clockwork God
111,557600,Gorogoa
112,306660,Ultimate General: Gettysburg
113,390290,Bulb Boy
114,311690,Enter the Gungeon
115,362890,Black Mesa
116,282140,SOMA
117,381780,80 Days
118,35720,Trine 2: Complete Story
119,569860,Thimbleweed Park
120,814360,Mythic Ocean
121,334940,Yoku's Island Express
122,583470,The End Is Nigh
123,37400,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition Double Pack"
124,207140,SpeedRunners
125,762830,Telling Lies
126,283640,Salt and Sanctuary
127,559210,Rakuen
128,253750,Ikaruga
129,212680,FTL: Faster Than Light
130,716500,Eliza
131,246960,Giana Sisters: Twisted Dreams - Rise of the Owlverlord
132,257850,Hyper Light Drifter
133,579040,DEFCON VR
134,1116780,Shovel Knight: King of Cards
135,1500,Darwinia
136,262060,Darkest Dungeon
137,92800,SpaceChem
138,897820,Reigns: Game of Thrones
139,252030,Valdis Story: Abyssal City
140,512790,Quern - Undying Thoughts
141,20710,Mr. Robot
142,503400,Four Last Things
143,406130,DarkMaus
144,551700,Gunheart
145,295750,The Floor is Jelly
146,113020,Monaco: What's Yours Is Mine
147,447150,APE OUT
148,414870,Super Mega Baseball 2
149,414340,Hellblade: Senua's Sacrifice
150,460950,Katana ZERO
151,384190,ABZU
152,95400,ibb & obb
153,396350,Bleed 2
154,282070,This War of Mine
155,206190,Gunpoint
156,422970,Devil Daggers
157,252130,Divide By Sheep
158,254320,Duskers
159,530390,Slayaway Camp
160,245170,Skullgirls
161,453090,Parkitect
162,980300,One Finger Death Punch 2
163,233450,Prison Architect
164,676820,Subsurface Circular
165,200900,Cave Story+
166,105600,Terraria
167,764790,The Messenger
168,237930,Transistor
169,201790,Orcs Must Die! 2
170,555220,Detention
171,552590,The Sexy Brutale
172,251830,Stick it to The Man!
173,603960,Monolith
174,248610,Door Kickers
175,230980,Starseed Pilgrim
176,322330,Don't Starve Together
177,214150,Galactic Civilizations I: Ultimate Edition
178,206370,Tales From Space: Mutant Blobs Attack
179,248310,Freedom Planet
180,900270,Reventure
181,274190,Broforce
182,72200,Universe Sandbox Legacy
183,960690,One Step From Eden
184,278640,Terrian Saga: KR-17
185,242760,The Forest
186,339090,Pig Eat Ball
187,535930,Two Point Hospital
188,102600,Orcs Must Die!
189,348490,Beyond Sol
190,617830,SUPERHOT VR
191,920320,Virgo Versus The Zodiac
192,219990,Grim Dawn
193,204880,Sins of a Solar Empire: Rebellion
194,248510,Dominions 3: The Awakening
195,440550,Atomik: RunGunJumpGun
196,219890,Antichamber
197,628800,Super Hydorah
198,485460,The Banner Saga 3
199,470780,She Remembered Caterpillars
200,322500,SUPERHOT
201,258520,The Vanishing of Ethan Carter
202,70400,Recettear: An Item Shop's Tale
203,290260,Sokobond
204,291410,Duelyst
205,706560,Jimmy and the Pulsating Mass
206,242110,Joe Danger 2: The Movie
207,365450,Hacknet
208,530320,Wandersong
209,24420,Aquaria
210,552500,Warhammer: Vermintide 2
211,265950,Ether One
212,312530,Duck Game
213,428550,Momodora: Reverie Under The Moonlight
214,261180,Lethal League
215,292500,Kero Blaster
216,243970,"Invisible, Inc."
217,852300,Creature in the Well
218,207690,Botanicula
219,226620,Desktop Dungeons
220,281640,The Banner Saga 2
221,403290,Burly Men at Sea
222,200210,Realm of the Mad God
223,525620,Octogeddon
224,207170,Legend of Grimrock
225,330020,Children of Morta
226,437390,HoPiKo
227,607050,Wargroove
228,277390,VIDEOBALL
229,699170,Fell Seal: Arbiter's Mark
230,449610,Monster Boy and the Cursed Kingdom
231,80310,Gemini Rue
232,107600,Waves
233,332250,The Next Penelope
234,462770,Pyre
235,1079800,Pistol Whip
236,1046030,ISLANDERS
237,450440,Creepy Castle
238,307580,Technobabylon
239,365660,OlliOlli2: Welcome to Olliwood
240,322680,BLACKHOLE
241,63200,Monday Night Combat
242,319470,Ninja Pizza Girl
243,233310,Avadon 2: The Corruption
244,346940,Shadowrun: Hong Kong - Extended Edition
245,558420,Stories Untold
246,27400,Dangerous High School Girls in Trouble!
247,221540,DG2: Defense Grid 2
248,717640,Reigns: Her Majesty
249,317320,Nelly Cootalot: The Fowl Fleet
250,253110,The Cat Lady
251,912570,BEAUTIFUL DESOLATION
252,337340,Finding Paradise
253,226860,Galactic Civilizations III
254,690640,Trine 4: The Nightmare Prince
255,507490,Ashes of the Singularity: Escalation
256,779290,Stygian: Reign of the Old Ones
257,510420,The Hex
258,846870,Yooka-Laylee and the Impossible Lair
259,211820,Starbound
260,910630,Arcade Spirits
261,70300,VVVVVV
262,58610,Wargame: European Escalation
263,209830,Lone Survivor: The Director's Cut
264,466630,The Pedestrian
265,240440,Quadrilateral Cowboy
266,523780,Emily is Away Too
267,231200,Kentucky Route Zero: PC Edition
268,107800,Rochard
269,711660,CHUCHEL
270,105800,PixelJunk Eden
271,408520,FORM
272,505640,Antihero
273,105300,Critical Mass
274,448510,Overcooked
275,228380,Wreckfest
276,360740,Downwell
277,322190,SteamWorld Heist
278,437570,GoNNER
279,629760,MORDHAU
280,272270,Torment: Tides of Numenera
281,230070,The Age of Decadence
282,416680,Zombie Night Terror
283,15520,AaAaAA!!! - A Reckless Disregard for Gravity
284,780350,Unruly Heroes
285,1047220,Frog Detective 2: The Case of the Invisible Wizard
286,573410,AI War 2
287,206440,To the Moon
288,383870,Firewatch
289,94400,Nidhogg
290,18500,Defense Grid: The Awakening
291,244750,Aztez
292,597760,Yuppie Psycho
293,557340,My Friend Pedro
294,866190,Irony Curtain: From Matryoshka with Love
295,204180,Waveform
296,108500,Vessel
297,304650,SUNLESS SEA
298,433340,Slime Rancher
299,350740,The Bug Butcher
300,207420,Wizorb
301,955360,Stronghold: A Hero's Fate
302,629090,Horace
303,94200,Jamestown
304,65800,Dungeon Defenders
305,397060,Faeria
306,342180,Arizona Sunshine
307,219830,King Arthur's Gold
308,437920,Tricky Towers
309,421120,Samorost 3
310,1005300,The Jackbox Party Pack 6
311,420060,Candle
312,219680,Proteus
313,979120,Autonauts
314,600990,The Gardens Between
315,307590,Penarium
316,38700,Toki Tori
317,80330,The Blackwell Legacy
318,319480,Odallus: The Dark Call
319,654050,JYDGE
320,792040,Detective Di: The Silk Rose Murders | 狄仁杰之锦蔷薇
321,363420,Leap of Fate
322,501790,Unforeseen Incidents
323,390330,Mekazoo
324,223450,Dyad
325,451310,A Fold Apart
326,274520,Darkwood
327,332200,Axiom Verge
328,250700,Super Time Force Ultra
329,420530,OneShot
330,589780,The Red Strings Club
331,638000,When Ski Lifts Go Wrong
332,115110,Stacking
333,214970,Intrusion 2
334,322210,"Guns, Gore & Cannoli"
335,452570,Battle Chef Brigade Deluxe
336,535520,Nidhogg 2
337,207530,Noitu Love 2: Devolution
338,609320,FAR: Lone Sails
339,9500,Gish
340,222750,Wargame: Airland Battle
341,388880,Oxenfree
342,242820,140
343,233150,LUFTRAUSERS
344,396900,GRIP: Combat Racing
345,375440,Hero-U: Rogue to Redemption
346,95300,Capsized
347,365770,Volume
348,223730,Fly'N
349,35700,Trine Enchanted Edition
350,314410,Rampage Knights
351,344740,CRYPTARK
352,401710,Flinthook
353,763030,Nelly Cootalot: Spoonbeaks Ahoy! HD
354,380220,Hover Junkers
355,388320,1979 Revolution: Black Friday
356,579760,The Journey Down: Chapter Three
357,91200,Anomaly: Warzone Earth
358,286000,Tooth and Tail
359,431250,Mushroom Wars
360,275390,Guacamelee! Super Turbo Championship Edition
361,640120,Youropa
362,228260,Fallen Enchantress: Legendary Heroes
363,50000,Nimbus
364,728880,Overcooked! 2
365,4920,Natural Selection 2
366,4300,RoboBlitz
367,252110,Lovers in a Dangerous Spacetime
368,241910,Goodbye Deponia
369,274350,Dropsy
370,29180,Osmos
371,260790,1001 Spikes
372,238320,Outlast
373,323850,Move or Die
374,237990,The Banner Saga
375,365360,Battle Brothers
376,230700,La-Mulana
377,390610,Circa Infinity
378,466560,Northgard
379,456670,Hand of Fate 2
380,861540,Dicey Dungeons
381,40400,AI War: Fleet Command
382,209190,Stealth Bastard Deluxe
383,323380,The Magic Circle
384,219740,Don't Starve
385,227300,Euro Truck Simulator 2
386,249050,Dungeon of the Endless - Crystal Edition
387,237350,Frozen Cortex
388,1080750,Mutazione
389,253030,Race The Sun
390,23600,Depths of Peril
391,390720,Anarcute
392,1051410,Wanderlust: Travel Stories
393,400170,The Incredible Adventures of Van Helsing: Final Cut
394,224820,Super House of Dead Ninjas
395,376520,Kelvin and the Infamous Machine
396,536990,Redie
397,268130,Heat Signature
398,65300,Dustforce DX
399,400110,Else Heart.Break()
400,711540,Lonely Mountains: Downhill
401,824070,Objects in Space
402,98800,Dungeons of Dredmor
403,421740,Goetia
404,396750,EVERSPACE
405,27000,The Path
406,211360,Offspring Fling!
407,323580,Jotun: Valhalla Edition
408,253230,A Hat in Time
409,562860,Ion Fury
410,284390,The Last Door - Collector's Edition
411,609490,Minit
412,673000,High Hell
413,446840,Splasher
414,57200,Puzzle Dimension
415,723270,Rumu
416,25700,Madballs in Babo:Invasion
417,219640,Chivalry: Medieval Warfare
418,835430,La-Mulana 2
419,416790,The Metronomicon: Slay The Dance Floor
420,1001800,KUNAI
421,584980,Late Shift
422,811270,Impulsion
423,227220,Sang-Froid - Tales of Werewolves
424,383270,Hue
425,574310,The Mooseman
426,986800,AVICII Invector
427,270130,The Gallery - Episode 1: Call of the Starseed
428,837190,TANGLEWOOD
429,240970,Half Minute Hero: The Second Coming
430,592480,Knights And Bikes
431,1140290,Murder by Numbers
