,ID,Game
0,7670,BioShock
1,72850,The Elder Scrolls V: Skyrim
2,24980,Mass Effect 2
3,373420,Divinity: Original Sin - Enhanced Edition
4,901242,Mass Effect 2 Digital Deluxe Edition
5,22330,The Elder Scrolls IV: Oblivion Game of the Year Edition
6,435150,Divinity: Original Sin 2 - Definitive Edition
7,292030,The Witcher 3: Wild Hunt
8,391540,Undertale
9,238210,System Shock 2
10,632470,Disco Elysium
11,236430,DARK SOULS II
12,22370,Fallout 3: Game of the Year Edition
13,47810,Dragon Age: Origins - Ultimate Edition
14,238010,Deus Ex: Human Revolution - Director's Cut
15,17450,Dragon Age: Origins
16,6310,The Longest Journey
17,22300,Fallout 3
18,590380,Into the Breach
19,8880,Freedom Force
20,17460,Mass Effect
21,413150,Stardew Valley
22,38400,Fallout: A Post Nuclear Role Playing Game
23,291650,Pillars of Eternity
24,49520,Borderlands 2
25,242680,Nuclear Throne
26,29540,Guild Wars
27,22320,The Elder Scrolls III: Morrowind Game of the Year Edition
28,3920,Sid Meier's Pirates!
29,200710,Torchlight II
30,8500,EVE Online
31,20920,The Witcher 2: Assassins of Kings Enhanced Edition
32,560130,Pillars of Eternity II: Deadfire
33,230230,Divinity: Original Sin (Classic)
34,300550,Shadowrun: Dragonfall - Director's Cut
35,596970,SUNLESS SKIES
36,247080,Crypt of the NecroDancer
37,597220,West of Loathing
38,240760,Wasteland 2: Director's Cut
39,239140,Dying Light
40,410380,HEX: Shards of Fate
41,881420,Six Ages: Ride Like the Wind
42,336140,Unavowed
43,212500,The Lord of the Rings Online
44,20900,The Witcher: Enhanced Edition Director's Cut
45,39190,Dungeon Siege
46,905690,魔物讨伐团
47,238960,Path of Exile
48,61510,Age of Wonders II: The Wizard's Throne
49,368340,CrossCode
50,107100,Bastion
51,638970,Yakuza 0
52,38410,Fallout 2: A Post Nuclear Role Playing Game
53,208580,STAR WARS Knights of the Old Republic II - The Sith Lords
54,557750,Giants: Citizen Kabuto
55,416600,Full Metal Furies
56,211420,DARK SOULS: Prepare To Die Edition
57,245450,Wizardry 8
58,241600,Rogue Legacy
59,973760,Thronebreaker: The Witcher Tales
60,251150,The Legend of Heroes: Trails in the Sky
61,1072420,DRAGON QUEST BUILDERS 2
62,319050,Chaos Reborn
63,410710,System Shock: Enhanced Edition
64,466300,Planescape: Torment: Enhanced Edition
65,262060,Darkest Dungeon
66,29580,Guild Wars Nightfall
67,113200,The Binding of Isaac
68,29560,Guild Wars Factions
69,553640,ICEY
70,283640,Salt and Sanctuary
71,559210,Rakuen
72,257850,Hyper Light Drifter
73,1091980,The Bard's Tale IV: Director's Cut
74,897820,Reigns: Game of Thrones
