,ID,Game
0,211600,Thief Gold
1,402430,Out of the Park Baseball 17
2,590380,Into the Breach
3,558990,Opus Magnum
4,15210,Silent Hunter III
5,442120,Pinball FX3
6,287450,Rise of Nations: Extended Edition
7,413150,Stardew Valley
8,515220,F1 2017
9,220200,Kerbal Space Program
10,809230,Unity of Command II
11,294100,RimWorld
12,881420,Six Ages: Ride Like the Wind
13,577800,NBA 2K18
14,236850,Europa Universalis IV
15,928600,F1 2019
16,211740,Thief II: The Metal Age
17,368370,Her Story
18,457140,Oxygen Not Included
19,47890,The Sims 3
20,310560,DiRT Rally
21,15320,IL-2 Sturmovik: 1946
22,391040,F1 2016
23,700480,Microsoft Allegiance
24,872790,Football Manager 2019
25,244160,Homeworld Remastered Collection
26,465650,Out of the Park Baseball 18
27,244210,Assetto Corsa
28,255710,Cities: Skylines
29,429530,Falcon 4.0
30,212680,FTL: Faster Than Light
31,493340,Planet Coaster
32,17390,SPORE
33,306660,Ultimate General: Gettysburg
34,762830,Telling Lies
35,44690,GT Legends
36,323190,Frostpunk
37,690790,DiRT Rally 2.0
38,1100600,Football Manager 2020
39,660160,Field of Glory II
40,92800,SpaceChem
41,242760,The Forest
42,234630,Project CARS
43,72200,Universe Sandbox Legacy
44,359630,Independence War 2: Edge of Chaos
45,248610,Door Kickers
46,453090,Parkitect
47,44360,F1 2011
48,394360,Hearts of Iron IV
49,414870,Super Mega Baseball 2
50,233450,Prison Architect
51,535930,Two Point Hospital
52,384190,ABZU
53,322330,Don't Starve Together
54,282070,This War of Mine
55,737800,F1 2018
56,572410,Steel Division: Normandy 44
57,33210,Dawn of Discovery
58,203770,Crusader Kings II
59,328900,B-17 Flying Fortress: The Mighty 8th
60,365450,Hacknet
61,844590,Hypnospace Outlaw
62,39520,The Guild Gold Edition
63,228380,Wreckfest
64,916440,Anno 1800
65,209830,Lone Survivor: The Director's Cut
66,448510,Overcooked
67,717640,Reigns: Her Majesty
68,411310,"Codename: Panzers, Phase One"
69,236390,War Thunder
70,2700,RollerCoaster Tycoon 3: Platinum
71,415200,Motorsport Manager
72,523780,Emily is Away Too
73,418460,Rising Storm 2: Vietnam
74,40950,Stronghold HD
75,312450,Order of Battle: World War II
76,105450,Age of Empires III: Complete Collection
77,552990,World of Warships
78,261470,Distant Worlds: Universe
79,58610,Wargame: European Escalation
80,703080,Planet Zoo
81,507490,Ashes of the Singularity: Escalation
82,573410,AI War 2
83,433340,Slime Rancher
84,411320,"Codename: Panzers, Phase Two"
85,208500,F1 2012
86,359320,Elite Dangerous
87,252110,Lovers in a Dangerous Spacetime
88,398640,Bowl Bound College Football
89,351080,The Corporate Machine
90,654050,JYDGE
91,588950,Kingsway
92,233150,LUFTRAUSERS
93,882020,Monster Energy Supercross - The Official Videogame 2
94,979120,Autonauts
95,638000,When Ski Lifts Go Wrong
96,466560,Northgard
97,222750,Wargame: Airland Battle
98,241540,State of Decay
99,824070,Objects in Space
100,266410,iRacing
101,227300,Euro Truck Simulator 2
102,23490,Tropico 3
103,323380,The Magic Circle
104,15200,Silent Hunter: Wolves of the Pacific
105,219740,Don't Starve
106,582270,Everything
107,271240,Offworld Trading Company
108,251060,Wargame: Red Dragon
109,421020,DiRT 4
110,545540,The Infectious Madness of Doctor Dekker
111,751780,Forager
112,40970,Stronghold Crusader HD
113,45300,Wings of Prey
114,281990,Stellaris
