,ID,Game
0,373420,Divinity: Original Sin - Enhanced Edition
1,3900,Sid Meier's Civilization IV
2,228200,Company of Heroes
3,435150,Divinity: Original Sin 2 - Definitive Edition
4,4560,Company of Heroes - Legacy Edition
5,202200,Galactic Civilizations II: Ultimate Edition
6,402430,Out of the Park Baseball 17
7,4760,Rome: Total War - Collection
8,269710,Tumblestone
9,8880,Freedom Force
10,570,Dota 2
11,8930,Sid Meier's Civilization V
12,26800,Braid
13,590380,Into the Breach
14,201270,Total War: SHOGUN 2
15,10500,Total War: EMPIRE – Definitive Edition
16,3910,Sid Meier's Civilization III Complete
17,200510,XCOM: Enemy Unknown
18,646570,Slay the Spire
19,287450,Rise of Nations: Extended Edition
20,7620,Railroad Tycoon II Platinum
21,8500,EVE Online
22,809230,Unity of Command II
23,268500,XCOM 2
24,610860,Shogo: Mobile Armor Division
25,289070,Sid Meier’s Civilization VI
26,294100,RimWorld
27,410380,HEX: Shards of Fate
28,240760,Wasteland 2: Director's Cut
29,594570,Total War: WARHAMMER II
30,427270,Orcs Must Die! Unchained
31,4580,"Warhammer 40,000: Dawn of War - Dark Crusade"
32,230230,Divinity: Original Sin (Classic)
33,6830,Commandos 2: Men of Courage
34,97110,Kohan: Immortal Sovereigns
35,9340,Company of Heroes: Opposing Fronts
36,236850,Europa Universalis IV
37,201290,Sins of a Solar Empire: Trinity
38,436320,Raw Data
39,881420,Six Ages: Ride Like the Wind
40,3590,Plants vs. Zombies GOTY Edition
41,300550,Shadowrun: Dragonfall - Director's Cut
42,4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition"
43,364360,Total War: WARHAMMER
44,465650,Out of the Park Baseball 18
45,905690,魔物讨伐团
46,244160,Homeworld Remastered Collection
47,201271,Total War Saga: FALL OF THE SAMURAI
48,8800,Civilization IV: Beyond the Sword
49,254820,Ground Control Anthology
50,298030,Total Annihilation
51,9350,Supreme Commander
52,61510,Age of Wonders II: The Wizard's Throne
53,700480,Microsoft Allegiance
54,319050,Chaos Reborn
55,779340,Total War: THREE KINGDOMS
56,255710,Cities: Skylines
57,466300,Planescape: Torment: Enhanced Edition
58,98200,Frozen Synapse
59,418240,Shadow Tactics: Blades of the Shogun
60,15620,"Warhammer 40,000: Dawn of War II"
61,20570,"Warhammer 40,000: Dawn of War II Chaos Rising"
62,4780,Medieval II: Total War Kingdoms
63,397190,Sengoku Jidai: Shadow of the Shogun
64,24790,Command & Conquer 3: Tiberium Wars
65,262060,Darkest Dungeon
66,813780,Age of Empires II: Definitive Edition
67,306660,Ultimate General: Gettysburg
68,1520,DEFCON
69,1640,Disciples II: Gallean's Return
70,381780,80 Days
71,493340,Planet Coaster
72,218090,Unity of Command: Stalingrad Campaign
73,212680,FTL: Faster Than Light
