,Action,Adventure,Early+Access,Ex+Early+Access,Free,Indie,Massively,RPG,Simulation,Sports,Strategy,Others
0,1407,1160,128,225,8,1960,44,590,593,110,677,398
1,1996,1660,163,286,5,2704,56,782,792,143,899,469
2,1176,992,112,142,6,1599,38,492,470,83,557,344
3,1325,1079,104,225,5,1724,61,533,583,101,696,339
4,1361,1159,109,224,5,1764,50,601,565,92,669,358
5,1279,1038,121,236,4,1779,53,561,565,81,651,307
6,1539,1286,119,247,5,1986,60,629,669,107,715,383
7,1673,1384,150,283,10,2166,66,706,701,113,776,387
8,1240,1061,120,199,7,1731,60,562,556,83,609,324
9,1430,1204,141,224,9,1827,61,634,620,103,695,348
10,1030,834,82,181,4,1175,49,412,442,81,513,196
11,1891,1612,186,269,13,2545,88,836,846,141,942,360
