,Action,Adventure,Early+Access,Ex+Early+Access,Free,Indie,Massively,RPG,Simulation,Sports,Strategy
0,55431,40439,2116,3785,46,49228,615,21717,18472,2647,30169
1,89736,63290,2604,5104,6,78654,570,29141,27959,3741,43541
2,48548,37404,2533,2447,22,40508,541,19270,15282,1656,26916
3,60440,42752,1815,4067,16,45037,728,19756,18849,2699,34149
4,62818,47806,2192,4381,25,46837,725,23928,19176,2245,32483
5,52543,33418,2042,4399,8,45654,771,20054,15825,2112,28386
6,70042,52258,2197,5163,20,57336,672,21591,24134,3253,34851
7,77516,50959,2583,5722,20,59400,796,25584,20249,2986,34561
8,53789,40159,2047,4264,52,49010,853,21289,19597,1881,30790
9,68986,49685,2445,4853,43,53685,929,26357,23906,2747,33407
10,57169,43997,1851,4439,32,40042,892,16798,20068,3220,30072
11,88979,67704,3320,6537,77,77049,1267,34298,30967,3805,44722
