,Action,Adventure,Early+Access,Ex+Early+Access,Free,Indie,Massively,RPG,Simulation,Sports,Strategy
0,1406,1159,128,225,8,1959,44,589,590,109,675
1,1994,1659,163,286,5,2703,56,781,791,142,899
2,1174,992,111,142,6,1597,38,492,469,83,556
3,1322,1079,103,225,5,1722,61,532,582,100,695
4,1358,1158,108,224,5,1762,50,600,564,91,668
5,1277,1037,119,236,4,1776,53,561,562,80,649
6,1537,1285,119,247,5,1985,60,628,668,106,715
7,1671,1383,150,283,10,2165,66,705,699,112,775
8,1238,1059,118,199,7,1727,60,562,554,82,608
9,1428,1204,141,224,9,1826,61,633,619,102,694
10,1027,833,81,181,4,1172,49,411,440,80,512
11,1890,1612,185,269,13,2544,88,836,845,140,941
