,IV_count_Action,IV_count_Adventure,IV_count_Early+Access,IV_count_Ex+Early+Access,IV_count_Free,IV_count_Indie,IV_count_Massively,IV_count_RPG,IV_count_Simulation,IV_count_Sports,IV_count_Strategy,IV_count_Others
0,0,2040,0,0,0,0,0,0,0,0,1169,0
1,0,2448,0,0,0,0,0,0,0,0,1346,0
2,0,1987,0,0,0,0,0,0,0,0,1171,0
3,0,2787,0,0,0,0,0,0,0,0,1584,0
4,0,2515,0,0,0,0,0,0,0,0,1490,0
5,0,2693,0,0,0,0,0,0,0,0,1588,0
6,2319,0,0,0,0,0,0,971,0,0,0,0
7,2813,0,0,0,0,0,0,1192,0,0,0,0
8,2201,0,0,0,0,0,0,1016,0,0,0,0
9,3112,0,0,0,0,0,0,1450,0,0,0,0
10,2851,0,0,0,0,0,0,1267,0,0,0,0
11,2949,0,0,0,0,0,0,1348,0,0,0,0
12,0,0,0,0,0,0,0,0,969,0,0,0
13,0,0,0,0,0,0,0,0,1221,0,0,0
14,0,0,0,0,0,0,0,0,1013,0,0,0
15,0,0,0,0,0,0,0,0,1397,0,0,0
16,0,0,0,0,0,0,0,0,1321,0,0,0
17,0,0,0,0,0,0,0,0,1312,0,0,0
18,2319,2040,0,0,0,3471,0,971,0,0,0,0
19,2813,2448,0,0,0,4115,0,1192,0,0,0,0
20,2201,1987,0,0,0,3231,0,1016,0,0,0,0
21,3112,2787,0,0,0,4656,0,1450,0,0,0,0
22,2851,2515,0,0,0,4276,0,1267,0,0,0,0
23,2949,2693,0,0,0,4379,0,1348,0,0,0,0
24,2319,0,0,0,0,3471,0,0,0,0,0,0
25,2813,0,0,0,0,4115,0,0,0,0,0,0
26,2201,0,0,0,0,3231,0,0,0,0,0,0
27,3112,0,0,0,0,4656,0,0,0,0,0,0
28,2851,0,0,0,0,4276,0,0,0,0,0,0
29,2949,0,0,0,0,4379,0,0,0,0,0,0
30,2319,0,0,0,0,3471,0,971,0,0,0,0
31,2813,0,0,0,0,4115,0,1192,0,0,0,0
32,2201,0,0,0,0,3231,0,1016,0,0,0,0
33,3112,0,0,0,0,4656,0,1450,0,0,0,0
34,2851,0,0,0,0,4276,0,1267,0,0,0,0
35,2949,0,0,0,0,4379,0,1348,0,0,0,0
36,2319,0,0,0,0,0,0,0,969,0,0,0
37,2813,0,0,0,0,0,0,0,1221,0,0,0
38,2201,0,0,0,0,0,0,0,1013,0,0,0
39,3112,0,0,0,0,0,0,0,1397,0,0,0
40,2851,0,0,0,0,0,0,0,1321,0,0,0
41,2949,0,0,0,0,0,0,0,1312,0,0,0
42,2319,2040,184,0,0,3471,0,0,969,0,0,0
43,2813,2448,282,0,0,4115,0,0,1221,0,0,0
44,2201,1987,236,0,0,3231,0,0,1013,0,0,0
45,3112,2787,360,0,0,4656,0,0,1397,0,0,0
46,2851,2515,366,0,0,4276,0,0,1321,0,0,0
47,2949,2693,406,0,0,4379,0,0,1312,0,0,0
48,2319,0,0,0,0,3471,0,0,0,0,1169,0
49,2813,0,0,0,0,4115,0,0,0,0,1346,0
50,2201,0,0,0,0,3231,0,0,0,0,1171,0
51,3112,0,0,0,0,4656,0,0,0,0,1584,0
52,2851,0,0,0,0,4276,0,0,0,0,1490,0
53,2949,0,0,0,0,4379,0,0,0,0,1588,0
54,2319,0,0,0,0,3471,0,0,0,0,0,0
55,2813,0,0,0,0,4115,0,0,0,0,0,0
56,2201,0,0,0,0,3231,0,0,0,0,0,0
57,3112,0,0,0,0,4656,0,0,0,0,0,0
58,2851,0,0,0,0,4276,0,0,0,0,0,0
59,2949,0,0,0,0,4379,0,0,0,0,0,0
60,2319,0,0,0,0,0,0,0,0,0,0,0
61,2813,0,0,0,0,0,0,0,0,0,0,0
62,2201,0,0,0,0,0,0,0,0,0,0,0
63,3112,0,0,0,0,0,0,0,0,0,0,0
64,2851,0,0,0,0,0,0,0,0,0,0,0
65,2949,0,0,0,0,0,0,0,0,0,0,0
66,2319,2040,0,269,0,3471,83,0,969,0,0,0
67,2813,2448,0,387,0,4115,98,0,1221,0,0,0
68,2201,1987,0,328,0,3231,100,0,1013,0,0,0
69,3112,2787,0,372,0,4656,116,0,1397,0,0,0
70,2851,2515,0,355,0,4276,102,0,1321,0,0,0
71,2949,2693,0,333,0,4379,110,0,1312,0,0,0
72,0,0,0,0,0,3471,0,0,969,0,0,0
73,0,0,0,0,0,4115,0,0,1221,0,0,0
74,0,0,0,0,0,3231,0,0,1013,0,0,0
75,0,0,0,0,0,4656,0,0,1397,0,0,0
76,0,0,0,0,0,4276,0,0,1321,0,0,0
77,0,0,0,0,0,4379,0,0,1312,0,0,0
78,2319,2040,0,0,0,3471,0,0,0,0,0,0
79,2813,2448,0,0,0,4115,0,0,0,0,0,0
80,2201,1987,0,0,0,3231,0,0,0,0,0,0
81,3112,2787,0,0,0,4656,0,0,0,0,0,0
82,2851,2515,0,0,0,4276,0,0,0,0,0,0
83,2949,2693,0,0,0,4379,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,969,0,1169,0
85,0,0,0,0,0,0,0,0,1221,0,1346,0
86,0,0,0,0,0,0,0,0,1013,0,1171,0
87,0,0,0,0,0,0,0,0,1397,0,1584,0
88,0,0,0,0,0,0,0,0,1321,0,1490,0
89,0,0,0,0,0,0,0,0,1312,0,1588,0
90,0,2040,0,0,0,3471,0,0,969,0,0,0
91,0,2448,0,0,0,4115,0,0,1221,0,0,0
92,0,1987,0,0,0,3231,0,0,1013,0,0,0
93,0,2787,0,0,0,4656,0,0,1397,0,0,0
94,0,2515,0,0,0,4276,0,0,1321,0,0,0
95,0,2693,0,0,0,4379,0,0,1312,0,0,0
96,0,2040,0,0,0,3471,0,0,0,0,0,0
97,0,2448,0,0,0,4115,0,0,0,0,0,0
98,0,1987,0,0,0,3231,0,0,0,0,0,0
99,0,2787,0,0,0,4656,0,0,0,0,0,0
100,0,2515,0,0,0,4276,0,0,0,0,0,0
101,0,2693,0,0,0,4379,0,0,0,0,0,0
102,0,0,0,0,0,3471,0,0,969,0,0,0
103,0,0,0,0,0,4115,0,0,1221,0,0,0
104,0,0,0,0,0,3231,0,0,1013,0,0,0
105,0,0,0,0,0,4656,0,0,1397,0,0,0
106,0,0,0,0,0,4276,0,0,1321,0,0,0
107,0,0,0,0,0,4379,0,0,1312,0,0,0
108,0,0,0,0,0,3471,0,0,969,0,0,0
109,0,0,0,0,0,4115,0,0,1221,0,0,0
110,0,0,0,0,0,3231,0,0,1013,0,0,0
111,0,0,0,0,0,4656,0,0,1397,0,0,0
112,0,0,0,0,0,4276,0,0,1321,0,0,0
113,0,0,0,0,0,4379,0,0,1312,0,0,0
114,2319,2040,0,0,0,0,0,0,0,0,0,0
115,2813,2448,0,0,0,0,0,0,0,0,0,0
116,2201,1987,0,0,0,0,0,0,0,0,0,0
117,3112,2787,0,0,0,0,0,0,0,0,0,0
118,2851,2515,0,0,0,0,0,0,0,0,0,0
119,2949,2693,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,971,0,0,1169,0
121,0,0,0,0,0,0,0,1192,0,0,1346,0
122,0,0,0,0,0,0,0,1016,0,0,1171,0
123,0,0,0,0,0,0,0,1450,0,0,1584,0
124,0,0,0,0,0,0,0,1267,0,0,1490,0
125,0,0,0,0,0,0,0,1348,0,0,1588,0
126,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0,0,0
132,2319,0,0,0,0,3471,0,0,0,0,1169,0
133,2813,0,0,0,0,4115,0,0,0,0,1346,0
134,2201,0,0,0,0,3231,0,0,0,0,1171,0
135,3112,0,0,0,0,4656,0,0,0,0,1584,0
136,2851,0,0,0,0,4276,0,0,0,0,1490,0
137,2949,0,0,0,0,4379,0,0,0,0,1588,0
138,0,0,0,0,0,0,0,0,969,0,0,0
139,0,0,0,0,0,0,0,0,1221,0,0,0
140,0,0,0,0,0,0,0,0,1013,0,0,0
141,0,0,0,0,0,0,0,0,1397,0,0,0
142,0,0,0,0,0,0,0,0,1321,0,0,0
143,0,0,0,0,0,0,0,0,1312,0,0,0
144,2319,2040,0,0,0,0,0,0,0,0,0,0
145,2813,2448,0,0,0,0,0,0,0,0,0,0
146,2201,1987,0,0,0,0,0,0,0,0,0,0
147,3112,2787,0,0,0,0,0,0,0,0,0,0
148,2851,2515,0,0,0,0,0,0,0,0,0,0
149,2949,2693,0,0,0,0,0,0,0,0,0,0
150,0,2040,0,0,0,0,0,0,0,0,0,0
151,0,2448,0,0,0,0,0,0,0,0,0,0
152,0,1987,0,0,0,0,0,0,0,0,0,0
153,0,2787,0,0,0,0,0,0,0,0,0,0
154,0,2515,0,0,0,0,0,0,0,0,0,0
155,0,2693,0,0,0,0,0,0,0,0,0,0
156,2319,0,0,0,0,3471,0,0,0,0,0,0
157,2813,0,0,0,0,4115,0,0,0,0,0,0
158,2201,0,0,0,0,3231,0,0,0,0,0,0
159,3112,0,0,0,0,4656,0,0,0,0,0,0
160,2851,0,0,0,0,4276,0,0,0,0,0,0
161,2949,0,0,0,0,4379,0,0,0,0,0,0
162,2319,0,0,0,0,0,0,0,0,0,0,0
163,2813,0,0,0,0,0,0,0,0,0,0,0
164,2201,0,0,0,0,0,0,0,0,0,0,0
165,3112,0,0,0,0,0,0,0,0,0,0,0
166,2851,0,0,0,0,0,0,0,0,0,0,0
167,2949,0,0,0,0,0,0,0,0,0,0,0
168,2319,2040,0,0,0,0,0,0,0,0,0,0
169,2813,2448,0,0,0,0,0,0,0,0,0,0
170,2201,1987,0,0,0,0,0,0,0,0,0,0
171,3112,2787,0,0,0,0,0,0,0,0,0,0
172,2851,2515,0,0,0,0,0,0,0,0,0,0
173,2949,2693,0,0,0,0,0,0,0,0,0,0
174,2319,0,0,0,0,0,0,0,0,0,0,0
175,2813,0,0,0,0,0,0,0,0,0,0,0
176,2201,0,0,0,0,0,0,0,0,0,0,0
177,3112,0,0,0,0,0,0,0,0,0,0,0
178,2851,0,0,0,0,0,0,0,0,0,0,0
179,2949,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,269,0,0,0,0,0,0,0,0
181,0,0,0,387,0,0,0,0,0,0,0,0
182,0,0,0,328,0,0,0,0,0,0,0,0
183,0,0,0,372,0,0,0,0,0,0,0,0
184,0,0,0,355,0,0,0,0,0,0,0,0
185,0,0,0,333,0,0,0,0,0,0,0,0
186,0,0,184,0,0,3471,0,971,969,0,0,0
187,0,0,282,0,0,4115,0,1192,1221,0,0,0
188,0,0,236,0,0,3231,0,1016,1013,0,0,0
189,0,0,360,0,0,4656,0,1450,1397,0,0,0
190,0,0,366,0,0,4276,0,1267,1321,0,0,0
191,0,0,406,0,0,4379,0,1348,1312,0,0,0
192,0,0,0,0,0,0,0,971,0,0,0,0
193,0,0,0,0,0,0,0,1192,0,0,0,0
194,0,0,0,0,0,0,0,1016,0,0,0,0
195,0,0,0,0,0,0,0,1450,0,0,0,0
196,0,0,0,0,0,0,0,1267,0,0,0,0
197,0,0,0,0,0,0,0,1348,0,0,0,0
198,2319,2040,0,0,0,0,0,0,0,0,0,0
199,2813,2448,0,0,0,0,0,0,0,0,0,0
200,2201,1987,0,0,0,0,0,0,0,0,0,0
201,3112,2787,0,0,0,0,0,0,0,0,0,0
202,2851,2515,0,0,0,0,0,0,0,0,0,0
203,2949,2693,0,0,0,0,0,0,0,0,0,0
204,0,2040,0,0,0,3471,0,971,0,0,1169,0
205,0,2448,0,0,0,4115,0,1192,0,0,1346,0
206,0,1987,0,0,0,3231,0,1016,0,0,1171,0
207,0,2787,0,0,0,4656,0,1450,0,0,1584,0
208,0,2515,0,0,0,4276,0,1267,0,0,1490,0
209,0,2693,0,0,0,4379,0,1348,0,0,1588,0
210,2319,0,0,0,0,3471,0,971,0,0,1169,0
211,2813,0,0,0,0,4115,0,1192,0,0,1346,0
212,2201,0,0,0,0,3231,0,1016,0,0,1171,0
213,3112,0,0,0,0,4656,0,1450,0,0,1584,0
214,2851,0,0,0,0,4276,0,1267,0,0,1490,0
215,2949,0,0,0,0,4379,0,1348,0,0,1588,0
216,0,0,0,0,0,0,0,0,0,0,1169,0
217,0,0,0,0,0,0,0,0,0,0,1346,0
218,0,0,0,0,0,0,0,0,0,0,1171,0
219,0,0,0,0,0,0,0,0,0,0,1584,0
220,0,0,0,0,0,0,0,0,0,0,1490,0
221,0,0,0,0,0,0,0,0,0,0,1588,0
222,2319,0,0,0,0,3471,83,0,0,0,0,0
223,2813,0,0,0,0,4115,98,0,0,0,0,0
224,2201,0,0,0,0,3231,100,0,0,0,0,0
225,3112,0,0,0,0,4656,116,0,0,0,0,0
226,2851,0,0,0,0,4276,102,0,0,0,0,0
227,2949,0,0,0,0,4379,110,0,0,0,0,0
228,2319,2040,0,0,0,0,0,0,0,0,0,0
229,2813,2448,0,0,0,0,0,0,0,0,0,0
230,2201,1987,0,0,0,0,0,0,0,0,0,0
231,3112,2787,0,0,0,0,0,0,0,0,0,0
232,2851,2515,0,0,0,0,0,0,0,0,0,0
233,2949,2693,0,0,0,0,0,0,0,0,0,0
234,0,0,0,269,0,3471,0,0,0,0,1169,0
235,0,0,0,387,0,4115,0,0,0,0,1346,0
236,0,0,0,328,0,3231,0,0,0,0,1171,0
237,0,0,0,372,0,4656,0,0,0,0,1584,0
238,0,0,0,355,0,4276,0,0,0,0,1490,0
239,0,0,0,333,0,4379,0,0,0,0,1588,0
240,0,0,0,0,0,3471,0,0,0,0,0,0
241,0,0,0,0,0,4115,0,0,0,0,0,0
242,0,0,0,0,0,3231,0,0,0,0,0,0
243,0,0,0,0,0,4656,0,0,0,0,0,0
244,0,0,0,0,0,4276,0,0,0,0,0,0
245,0,0,0,0,0,4379,0,0,0,0,0,0
246,2319,2040,0,0,0,3471,0,971,969,0,1169,0
247,2813,2448,0,0,0,4115,0,1192,1221,0,1346,0
248,2201,1987,0,0,0,3231,0,1016,1013,0,1171,0
249,3112,2787,0,0,0,4656,0,1450,1397,0,1584,0
250,2851,2515,0,0,0,4276,0,1267,1321,0,1490,0
251,2949,2693,0,0,0,4379,0,1348,1312,0,1588,0
252,0,0,0,0,0,3471,0,0,0,0,0,0
253,0,0,0,0,0,4115,0,0,0,0,0,0
254,0,0,0,0,0,3231,0,0,0,0,0,0
255,0,0,0,0,0,4656,0,0,0,0,0,0
256,0,0,0,0,0,4276,0,0,0,0,0,0
257,0,0,0,0,0,4379,0,0,0,0,0,0
258,2319,2040,0,269,0,3471,0,971,0,0,0,0
259,2813,2448,0,387,0,4115,0,1192,0,0,0,0
260,2201,1987,0,328,0,3231,0,1016,0,0,0,0
261,3112,2787,0,372,0,4656,0,1450,0,0,0,0
262,2851,2515,0,355,0,4276,0,1267,0,0,0,0
263,2949,2693,0,333,0,4379,0,1348,0,0,0,0
264,0,2040,0,0,0,0,0,0,0,0,0,0
265,0,2448,0,0,0,0,0,0,0,0,0,0
266,0,1987,0,0,0,0,0,0,0,0,0,0
267,0,2787,0,0,0,0,0,0,0,0,0,0
268,0,2515,0,0,0,0,0,0,0,0,0,0
269,0,2693,0,0,0,0,0,0,0,0,0,0
270,0,2040,0,0,0,3471,0,0,0,0,0,0
271,0,2448,0,0,0,4115,0,0,0,0,0,0
272,0,1987,0,0,0,3231,0,0,0,0,0,0
273,0,2787,0,0,0,4656,0,0,0,0,0,0
274,0,2515,0,0,0,4276,0,0,0,0,0,0
275,0,2693,0,0,0,4379,0,0,0,0,0,0
276,2319,0,0,0,0,3471,0,0,0,0,0,0
277,2813,0,0,0,0,4115,0,0,0,0,0,0
278,2201,0,0,0,0,3231,0,0,0,0,0,0
279,3112,0,0,0,0,4656,0,0,0,0,0,0
280,2851,0,0,0,0,4276,0,0,0,0,0,0
281,2949,0,0,0,0,4379,0,0,0,0,0,0
282,2319,2040,0,0,0,0,0,971,0,0,0,0
283,2813,2448,0,0,0,0,0,1192,0,0,0,0
284,2201,1987,0,0,0,0,0,1016,0,0,0,0
285,3112,2787,0,0,0,0,0,1450,0,0,0,0
286,2851,2515,0,0,0,0,0,1267,0,0,0,0
287,2949,2693,0,0,0,0,0,1348,0,0,0,0
288,0,2040,0,0,0,3471,0,0,0,0,0,0
289,0,2448,0,0,0,4115,0,0,0,0,0,0
290,0,1987,0,0,0,3231,0,0,0,0,0,0
291,0,2787,0,0,0,4656,0,0,0,0,0,0
292,0,2515,0,0,0,4276,0,0,0,0,0,0
293,0,2693,0,0,0,4379,0,0,0,0,0,0
294,0,0,0,0,0,3471,0,971,0,0,0,0
295,0,0,0,0,0,4115,0,1192,0,0,0,0
296,0,0,0,0,0,3231,0,1016,0,0,0,0
297,0,0,0,0,0,4656,0,1450,0,0,0,0
298,0,0,0,0,0,4276,0,1267,0,0,0,0
